区分,No.,名称,開園面積（ha）,,,,,,,,,,
海浜公園,1,大井ふ頭中央海浜公園,45.4,,,,,,,,,,
海浜公園,2,東京港野鳥公園,24.9,,,,,,,,,,
海浜公園,3,城南島海浜公園,20.0,,,,,,,,,,
海浜公園,4,お台場海浜公園,51.0,,,,,,,,,,
海浜公園,5,有明親水海浜公園,-,,,,,,,,,,
海浜公園,6,辰巳の森海浜公園,16.9,,,,,,,,,,
海浜公園,7,若洲海浜公園,83.0,,,,,,,,,,
海浜公園,8,葛西海浜公園,411.8,,,,,,,,,,
海浜公園,9,海の森公園,-,,,,,,,,,,
ふ頭公園,10,大井北ふ頭公園,-,,,,,,,,,,
ふ頭公園,11,コンテナふ頭公園,0.2,,,,,,,,,,
ふ頭公園,12,みなとが丘ふ頭公園,5.0,,,,,,,,,,
ふ頭公園,13,東海ふ頭公園,2.3,,,,,,,,,,
ふ頭公園,14,城南島ふ頭公園,0.7,,,,,,,,,,
ふ頭公園,15,京浜島ふ頭公園,1.3,,,,,,,,,,
ふ頭公園,16,京浜島つばさ公園,2.5,,,,,,,,,,
ふ頭公園,17,青海北ふ頭公園,2.5,,,,,,,,,,
ふ頭公園,18,青海南ふ頭公園,4.5,,,,,,,,,,
ふ頭公園,19,水の広場公園,7.8,,,,,,,,,,
ふ頭公園,20,青海中央ふ頭公園,1.2,,,,,,,,,,
ふ頭公園,21,暁ふ頭公園,1.6,,,,,,,,,,
ふ頭公園,22,フェリーふ頭公園,0.9,,,,,,,,,,
ふ頭公園,23,新木場公園,0.8,,,,,,,,,,
ふ頭公園,24,若洲ふ頭公園,-,,,,,,,,,,
ふ頭公園,25,晴海ふ頭公園,2.6,,,,,,,,,,
ふ頭公園,26,春海橋公園,2.4,,,,,,,,,,
ふ頭公園,27,中央防波堤内側ふ頭公園,-,,,,,,,,,,
ふ頭公園,28,芝浦北ふ頭公園,-,,,,,,,,,,
ふ頭公園,29,芝浦南ふ頭公園,1.0,,,,,,,,,,
ふ頭公園,30,品川北ふ頭公園,0.6,,,,,,,,,,
ふ頭公園,31,有明ふ頭公園,-,,,,,,,,,,
ふ頭公園,32,有明西ふ頭公園,1.0,,,,,,,,,,
緑道公園,33,島北緑道公園,2.5,,,,,,,,,,
緑道公園,34,島南緑道公園,-,,,,,,,,,,
緑道公園,35,京浜運河緑道公園,7.8,,,,,,,,,,
緑道公園,36,大井ふ頭緑道公園,3.3,,,,,,,,,,
緑道公園,37,東海緑道公園,4.4,,,,,,,,,,
緑道公園,38,城南島緑道公園,2.0,,,,,,,,,,
緑道公園,39,京浜島緑道公園,3.2,,,,,,,,,,
緑道公園,40,東八潮緑道公園,0.5,,,,,,,,,,
緑道公園,41,シンボレプロムナード公園,26.4,,,,,,,,,,
緑道公園,42,台場緑道公園,-,,,,,,,,,,
緑道公園,43,青海緑道公園,0.6,,,,,,,,,,
緑道公園,44,有明北その1緑道公園,-,,,,,,,,,,
緑道公園,45,有明北その2緑道公園,-,,,,,,,,,,
緑道公園,46,有明テニスの森公園,16.3,,,,,,,,,,
緑道公園,47,若洲緑道公園,-,,,,,,,,,,
緑道公園,48,東雲緑道公園,-,,,,,,,,,,
緑道公園,49,辰巳の森緑道公園,14.6,,,,,,,,,,
緑道公園,50,夢の島緑道公園,10.5,,,,,,,,,,
緑道公園,51,新木場緑道公園,6.3,,,,,,,,,,
都立公園等,52,浜離宮思賜庭園,25.0,,,,,,,,,,
都立公園等,53,旧芝離宮思賜庭園,4.3,,,,,,,,,,
都立公園等,54,潮風公園,15.5,,,,,,,,,,
都立公園等,55,夢の島公園,43.3,,,,,,,,,,
都立公園等,56,葛西臨海公園,80.6,,,,,,,,,,
都立公園等,57,台場公園,3.0,,,,,,,,,,
都立公園等,58・59,東京臨海広域防災公園*1,13.2*2,,,,,,,,,,
区立公園,60,豊海運動公園,2.0,,,,,,,,,,
区立公園,61,高浜公園,0.2,,,,,,,,,,
区立公園,62,お台場レインボー公園,1.1,,,,,,,,,,
区立公園,63,潮見運動公園,4.0,,,,,,,,,,
区立公園,64,豊洲公園,2.4,,,,,,,,,,
区立公園,65,若洲公園,9.4,,,,,,,,,,
区立公園,66,東雲駅前公園,0.2,,,,,,,,,,
区立公園,67,潮見さざなみ公園,0.8,,,,,,,,,,
区立公園,68,しながわ区民公園,12.7,,,,,,,,,,
区立公園,69,品川南ふ頭公園,0.8,,,,,,,,,,
区立公園,70,八潮北公園,2.2,,,,,,,,,,
区立公園,71,平和島公園,7.4,,,,,,,,,,
区立公園,72,平和の森公園,10.5,,,,,,,,,,
区立公園,73,大森ふるさとの浜辺公園,12.8,,,,,,,,,,
区立公園,74,大田スタジアム,2.5,,,,,,,,,,
区立公園,75,晴海臨海公園,3.9,,,,,,,,,,
区立公園,76,島南緑道公園,0.4,,,,,,,,,,
区立公園,77,大森緑道公園,0.7,,,,,,,,,,
その他,78,船の科学館,4.6,,,,,,,,,,
その他,79,竹芝ふ頭ターミナレ,1.2,,,,,,,,,,
