類型,地点,夏季平均値（mg/L）現況,夏季平均値（mg/L）今回計画,夏季平均値（mg/L）既定計画,水質75%値（mg/L）現況,水質75%値（mg/L）今回計画,水質75%値（mg/L）既定計画,水質75%値（mg/L）今回-既定,環境基準値（mg/L）
C類型,St.5,4.6,5.6,5.6,4.3,5.2,5.2,0.0,8以下
C類型,St.6,4.8,5.2,5.3,4.3,4.8,4.9,-0.1,8以下
C類型,St.11,4.7,5.6,5.5,4.4,5.2,5.1,0.1,8以下
C類型,St.23,4.3,6.2,6.2,4.2,5.7,5.7,0.0,8以下
B類型,St.8,5.0,4.3,4.3,4.2,3.9,3.9,0.0,3以下
B類型,St.22,4.5,3.6,3.6,4.2,3.4,3.4,0.0,3以下
B類型,St.25,3.6,5.1,5.1,3.6,4.5,4.5,0.0,3以下
