地区名,埠頭名,種別,水深(m),バース数,延長(m),対象船舶（DWT）
内港地区,芝浦内貿雑貨,既設,5.5,1,90,2000
内港地区,芝浦内貿雑貨,既設※対象船舶を大型化,7.5,2,260,10600(GT)
内港地区,芝浦内貿雑貨,既設,7.5,4,520,5000
内港地区,芝浦物揚場,既設,2.7,1,711,-
内港地区,月島物揚場,既設,3,1,730,-
南部地区,大井その2建材,既設,5,4,280,1000
南部地区,大井その2建材,既定計画,5,2,160,1000
南部地区,大井その2建設発生土,既設,7.5,1,130,5000
中部地区,10号地その1東側多目的,既定計画,8.5,1,230,14500(GT)
中部地区,10号地その1西側多目的,既設,7.5,1,180,5000(GT)
中部地区,10号地その2（東）内貿雑貨,既設,5,13,920,1000
中部地区,10号地その2（東）多目的,既定計画,8.5,1,260,23000(GT)
中部地区,10号地その2（東）多目的,既設（工事中）,8.5,1,270,16000(GT)
東部地区,辰巳内貿雑貨,既設,5,13,1040,1000
東部地区,若洲建材・製材,既設,5.5,4,370,2000
中央防波堤地区,中央防波堤内側建設発生土,既設,7.5,1,160,5000
