地区名,施設諸元（平成22年),主要取扱貨物等（平成22年実績),定期航路
内航地区芝浦ふ頭,-7.5m×780m(6B),セメント596千トン,
内航地区芝浦ふ頭,-5.5m×90m(1B),紙・パルプ181千トン,
内航地区芝浦ふ頭,-2.7m×161m(2B),その他240千トン,
内航地区芝浦ふ頭,,合計1018千トン,
内航地区日の出ふ頭,-6.7m×564m(6B),非鉄金属56千トン,
内航地区日の出ふ頭,,化学薬品4千トン,
内航地区日の出ふ頭,,鉄鋼0.7千トン,
内航地区日の出ふ頭,,合計61千トン,
内航地区竹芝ふ頭,-7.5m×465m(3B),取寄せ品59千トン,内貿定期航路伊豆七島航路7便/週小笠原航路5便/月
内航地区竹芝ふ頭,,水産品21千トン,内貿定期航路伊豆七島航路7便/週小笠原航路6便/月
内航地区竹芝ふ頭,,その他28千トン,内貿定期航路伊豆七島航路7便/週小笠原航路7便/月
内航地区竹芝ふ頭,,合計108千トン,内貿定期航路伊豆七島航路7便/週小笠原航路8便/月
内航地区※品川ふ頭,-10m×555m(3B),取寄せ品1247千トン,外貿コンテナ定期航路アジア航路1便/週中国航路4便/週韓国航路10便/週内貿定期航路（RO/RO)苫小牧航路13.5便/週
内航地区※品川ふ頭,-10m×190m(1B),完成自動車1152千トン,外貿コンテナ定期航路アジア航路1便/週中国航路4便/週韓国航路10便/週内貿定期航路（RO/RO)苫小牧航路13.6便/週
内航地区※品川ふ頭,-10m×380m(2B),紙・パルプ943千トン,外貿コンテナ定期航路アジア航路1便/週中国航路4便/週韓国航路10便/週内貿定期航路（RO/RO)苫小牧航路13.7便/週
内航地区※品川ふ頭,-8m×476m(3B),その他3564千トン,外貿コンテナ定期航路アジア航路1便/週中国航路4便/週韓国航路10便/週内貿定期航路（RO/RO)苫小牧航路13.8便/週
内航地区※品川ふ頭,,合計6906千トン,外貿コンテナ定期航路アジア航路1便/週中国航路4便/週韓国航路10便/週内貿定期航路（RO/RO)苫小牧航路13.9便/週
内航地区晴海ふ頭,-9m×90m(1B),取扱貨物なし,
内航地区晴海ふ頭,-10m×190m(1B),取扱貨物なし,
内航地区晴海ふ頭,-10m×450m(2B),取扱貨物なし,
内航地区朝潮・月島ふ頭,"-3～-4.5m×1,085m",再利用資材2.6千トン,
内航地区朝潮・月島ふ頭,-7m×260m(2B),金属製品2.6千トン,
内航地区朝潮・月島ふ頭,,金属くず2.5千トン,
内航地区朝潮・月島ふ頭,,その他15千トン,
内航地区朝潮・月島ふ頭,,合計22千トン,
内航地区豊洲ふ頭,-4m×283m,取扱貨物量なし,
内航地区豊洲ふ頭,(H23年7月利用中止),取扱貨物量なし,
