運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
SITC［NingboOcean/Sinotrans］,レムチャバン/カトライ/寧波/上海/名古屋/東京/横浜/上海/名古屋/東京/横浜/上海/寧波/厦門/カトライ/バンコク/レムチャバン,4隻28日ラウンド（土、ウィークリー）,ARABIANEXPRESS,1295,18576,青海A3
SITC［NingboOcean/Sinotrans］,レムチャバン/カトライ/寧波/上海/名古屋/東京/横浜/上海/名古屋/東京/横浜/上海/寧波/厦門/カトライ/バンコク/レムチャバン,4隻28日ラウンド（土、ウィークリー）,CAPEFAWLEY,1440,20358,青海A3
SITC［NingboOcean/Sinotrans］,レムチャバン/カトライ/寧波/上海/名古屋/東京/横浜/上海/名古屋/東京/横浜/上海/寧波/厦門/カトライ/バンコク/レムチャバン,4隻28日ラウンド（土、ウィークリー）,KUOHUNG,1295,18585,大井O1/2
SITC［NingboOcean/Sinotrans］,レムチャバン/カトライ/寧波/上海/名古屋/東京/横浜/上海/名古屋/東京/横浜/上海/寧波/厦門/カトライ/バンコク/レムチャバン,4隻28日ラウンド（土、ウィークリー）,CAPEFERRO,1221,16439,大井O1/2
T.S.Lines,東京/横浜/名古屋/四日市/大阪/基隆/台中/麦寮/高雄/香港/蛇口/香港/東京,2隻14日ラウンド（水/木、ウィークリー）,SARA,1043,12814,大井O6/7
T.S.Lines,東京/横浜/名古屋/四日市/大阪/基隆/台中/麦寮/高雄/香港/蛇口/香港/東京,2隻14日ラウンド（水/木、ウィークリー）,ASIATICWAVE,1147,12560,大井O6/7
T.S.Lines,東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/蛇口/東京,２隻１４日ラウンド（水/木、ウィークリー）,HALCYON,1102,12480,青海公共
T.S.Lines,東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/蛇口/東京,２隻１４日ラウンド（水/木、ウィークリー）,LANTAUBRIDE,1049,12821,青海公共
T.S.Lines［ChengLie］,大坂/神戸/名古屋/横浜/東京/基隆/台中/高雄/香港/蛇口/レムチャバン/バンコク/レムチャバン/香港/蛇口/香港/大阪,４隻28日ラウンド（土/日、ウィークリー）,ASSAVONIA,1679,21614,青海公共
T.S.Lines［ChengLie］,大坂/神戸/名古屋/横浜/東京/基隆/台中/高雄/香港/蛇口/レムチャバン/バンコク/レムチャバン/香港/蛇口/香港/大阪,４隻28日ラウンド（土/日、ウィークリー）,BERMUDIANEXPRESS,1679,21548,青海公共
T.S.Lines［ChengLie］,大坂/神戸/名古屋/横浜/東京/基隆/台中/高雄/香港/蛇口/レムチャバン/バンコク/レムチャバン/香港/蛇口/香港/大阪,４隻28日ラウンド（土/日、ウィークリー）,KYOROTOWER,1708,21975,青海公共
T.S.Lines［ChengLie］,大坂/神戸/名古屋/横浜/東京/基隆/台中/高雄/香港/蛇口/レムチャバン/バンコク/レムチャバン/香港/蛇口/香港/大阪,４隻28日ラウンド（土/日、ウィークリー）,TSJAPAN,1708,21916,青海公共
T.S.Lines,東京/横浜/名古屋/蔚山/釜山/基隆/台中/高雄/香港/ハイフォン/防城/香港/高雄/台中/基隆/東京,3隻21日ラウンド（火/水、ウィークリー）,LANTAUBAY,1049,12829,青海公共
T.S.Lines,東京/横浜/名古屋/蔚山/釜山/基隆/台中/高雄/香港/ハイフォン/防城/香港/高雄/台中/基隆/東京,3隻21日ラウンド（火/水、ウィークリー）,BSTADTLAUENBURG,1043,12788,青海公共
T.S.Lines,東京/横浜/名古屋/蔚山/釜山/基隆/台中/高雄/香港/ハイフォン/防城/香港/高雄/台中/基隆/東京,3隻21日ラウンド（火/水、ウィークリー）,LANTAUBEACH,1049,12829,青海公共
WanHai［インターエイシアライン］,東京/横浜/清水/名古屋/四日市/基隆/台中/高雄/台中/高雄/香港/シンガポール/ポートケラン/ペナン/パシールクダン/シンガポール/香港/台北/東京,4隻28日ラウンド（水/木、ウィークリー）,WANHAI305,1049,12829,大井O5
WanHai［インターエイシアライン］,東京/横浜/清水/名古屋/四日市/基隆/台中/高雄/台中/高雄/香港/シンガポール/ポートケラン/ペナン/パシールクダン/シンガポール/香港/台北/東京,4隻28日ラウンド（水/木、ウィークリー）,WANHAI312,1043,12788,大井O5
