名称,実績値,実績値,実績値,実績値,実績値,実績値,実績値,実績値,実績値,実績値基準年,実績値（参考）,実績値（参考）,目標年（設定値）
和暦,13,14,15,16,17,18,19,20,21,22,23,24,37
西暦,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2025
