地点,路線名,要請限度昼間(デシベル),要請限度夜間(デシベル),現況(実測)昼間(デシベル),現況(実測)夜間(デシベル),今回計画昼間(デシベル),今回計画夜間(デシベル),既定計画昼間(デシベル),既定計画夜間(デシベル),今回-既定昼間(デシベル),今回-既定夜間(デシベル)
1,都道環状三号線・首都高速9号線,65,60,48,46,51.3,48.7,51.2,48.6,0.1,0.1
2,臨港道路新木場・若計線,(70),(65),47,45,55.7,53.7,54.8,52.7,0.9,1.0
3,東京港臨海道路,(70),(65),40,32,37.9,36.8,37.2,36.0,0.7,0.8
4,臨港道路城南島・大井1号線,(70),(65),51,45,57.8,53.6,57.3,53.0,0.5,0.6
5,臨港道路大井ふ頭その1線,70,65,46,45,52.6,50.7,52.2,50.2,0.4,0.5
6,臨港道路大井2号線,65,60,46,39,51.0,45.9,50.7,45.6,0.3,0.3
7,都道環状六号線,70,65,51,46,52.0,46.8,52.0,46.7,0.0,0.1
8,都道品川埠頭線,65,60,46,40,49.2,44.9,49.3,45.0,-0.1,-0.1
9,臨港道路青海縦貫線,(70),(65),50,44,53.7,49.6,53.3,49.1,0.4,0.5
10,臨港道路有明ふ頭連絡線,(70),(65),52,44,58.0,53.7,57.3,52.7,0.7,1.0
11,臨港道路有明南縦貫線,(70),(65),41,30,37.0,28.7,36.6,28.4,0.4,0.3
