番号,既設用途,既設水深(-m),既設面積(ha),変更後用途,変更後水深(-m),変更後面積(ha)
（1）,泊地,9,2.1,泊地,12,1.7
（2）,泊地,9,2.1,-,-,0.4
（3）,航路・泊地,9,15.4,航路・泊地,12,12.3
（4）,航路・泊地,9,15.4,-,-,3.1
（5）,泊地,12,3.7,-,-,2.1
（6）,泊地,12,3.7,-,-,0.3
（7）,泊地,12,3.7,-,-,0.1
（8）,泊地,12,3.7,泊地,12,1.2
（9）,航路・泊地,12,53.2,-,-,13.7
（10）,航路・泊地,12,53.2,泊地,11～12,1.3
（11）,航路・泊地,12,53.2,-,-,0.3
（12）,航路・泊地,12,53.2,航路・泊地,12,37.9
（13）,航路・泊地,10,130.4,-,-,0.1
（14）,航路・泊地,10,130.4,泊地,11～12,0.7
（15）,航路・泊地,10,130.4,航路・泊地,11～12,8.7
（16）,航路・泊地,10,130.4,航路・泊地,12,23.6
（17）,航路・泊地,10,130.4,-,-,72.2
（18）,航路・泊地,10,130.4,-,-,24.6
（19）,航路・泊地,10,130.4,-,-,0.5
（20）,防波堤,-,-,航路・泊地,11～12,2.2
（21）,ケーソンヤード,-,-,航路・泊地,11～12,0.2
（22）,ケーソンヤード,-,-,泊地,11～12,0.7
（23）,水面整理場・貯木場,-,-,航路・泊地,12,42.1
（24）,貯木場,-,-,航路・泊地,9,2.6
（25）,貯木場,-,-,泊地,9,1.8
