発生源,現況,今回計画,既定計画,今回計画－既定計画
工場・事業場（t/年）,146,146,146,0
自動車（t/年）,115,12,11,1
船舶（t/年）,322,166,163,3
航空機（t/年）,134,280,280,0
民生（t/年）,70,76,76,0
合計（t/年）,787,680,676,4
