施設名,新規計画水深(m),新規計画規模,既設水深(m),既設規模
木材投下泊地(水面整理場),-,-,7.5,39ha
木材投下泊地(水面整理場),2.5,1ha,2.5,18ha
水面貯木場,-,-,2.5,56ha
ドルフィン,9,2バース,10,5バース
係船浮標,-,-,7.5,3基
