項目,推計方法,H22実績,H37推計値
国内人口(千人),「日本の将来推計人口（国立社会保障・人口問題研究所推計値（平成18年12月※））」の中位推計値を用いて設定。,128057,119270
世界GDP（兆ドル）,「経済財政の中長期試算（2012.1.24）（内閣府）」における慎?重?シ?ナ?リ?オ推計値（経?済?成?長?率?3?.?7?％）を用いて世界将来GDPを設定。,51,87
国内GDP（１０億円）,「経済財政の中長期試算（2012.1.24）（内閣府）」における慎?重?シ?ナ?リ?オ推計値（経?済?成?長?率?1?.?1?%）を用いて日本将来GDPを設定。,511302,606588
