,4月,5月,6月,7月,8月,9月,10月,11月,12月,1月,2月,3月
25年度平日,266,374,275,393,666,263,243,,,,,
25年度休日,508,803,742,910,856,731,497,,,,,
25年度合計,774,1177,1017,1303,1522,994,740,,,,,
24年度,969,968,793,1102,1329,1029,915,815,447,512,395,734
23年度,709,868,779,1142,1232,942,1083,844,500,426,400,402
22年度,981,1149,983,1428,1709,1116,1047,907,581,510,475,260
21年度,980,1127,950,1292,1677,1298,1076,997,639,577,370,575
20年度,789,894,918,1384,1339,1054,919,694,441,398,448,614
19年度,953,1081,1055,1057,1635,1084,955,871,543,448,318,784
18年度,777,863,876,1248,1494,1016,1074,868,465,475,472,676
17年度,907,1007,640,1137,1084,888,748,821,325,299,340,623
