日の出地区、竹芝地区、晴海地区、朝潮地区、月島地区、豊洲地区,東京港管理事務所ふ頭運営課内港地区ふ頭担当,03-5442-5366
青海地区、有明地区、辰巳地区、若洲地区、中央防波堤内側・外側,東京港管理事務所ふ頭運営課東部地区ふ頭担当,03-3520-0559
品川地区、芝浦地区、大井地区、城南島地区,東京港管理事務所ふ頭運営課南部地区ふ頭担当,03-3474-7807
●港湾局所管用地の一時貸付（港湾施設用地）,,
