広域処理（公共工事の建設発生土関係）,臨海開発部開発整備課調整担当,03-5320-5571
民間工事の建設発生土関係,港湾経営部振興課内貿振興担当,03-5320-5548
水域占用での積み出しについて,港湾経営部経営課水域管理担当,03-5320-5552
