名称,級別,面積（m2）,主要品種,,,,
C野積場,1級,14222,シャーシ,,,,
D野積場,1級,14079,シャーシ,,,,
G野積場,1級,18332,シャーシ,,,,
H野積場,1級,19908,シャーシ,,,,
I野積場,1級,4229,シャーシ,,,,
SK野積場,1級,3150,シャーシ,,,,
品川ふ頭,,73920,,,,,
K野積場,1級,9524,コンテナ,,,,
L野積場,1級,1769,コンテナ,,,,
M野積場,1級,1182,取合せ品,,,,
N野積場,1級,4945,シャーシ,,,,
J野積場,2級,12553,シャーシ,,,,
芝浦ふ頭,,29972,,,,,
G野積場,1級,1442,空パレット,,,,
日の出ふ頭,,1442,,,,,
野積場,1級,970,,,,,
月島ふ頭,,970,（供用中止中）,,,,
1号上屋背面野積場,1級,5178,シャーシ,,,,
2号上屋背面野積場,1級,3576,シャーシ,,,,
3号上屋背面野積場,1級,5178,シャーシ,,,,
4号上屋背面野積場,1級,10529,シャーシ,,,,
5号上屋背面野積場,1級,3958,シャーシ,,,,
6号上屋背面野積場,1級,3947,シャーシ,,,,
A野積場,1級,13825,コンテナ,,,,
C野積場,1級,13506,シャーシ,,,,
D野積場,1級,12864,シャーシ,,,,
E野積場,1級,12874,シャーシ,,,,
G野積場,1級,13506,シャーシ,,,,
H野積場,1級,13506,コンテナ,,,,
I野積場,1級,6711,コンテナ,,,,
J野積場,1級,12433,コンテナ,,,,
L野積場,1級,14641,鉄鋼,,,,
N野積場,1級,13379,鉄鋼,,,,
自動車上屋付属,1級,2958,商品車,,,,
10号地ふ頭,,162567,,,,,
A野積場,1級,10997,シャーシ,,,,
B野積場,1級,19169,シャーシ,,,,
C野積場,1級,10705,シャーシ,,,,
D野積場,1級,7517,シャーシ,,,,
E野積場,1級,11865,シャーシ,,,,
フェリーふ頭,,60253,,,,,
A野積場,1級,8935,鉄鋼、雑貨,,,,
B野積場,1級,7985,鉄鋼、雑貨,,,,
C野積場,1級,19584,鉄鋼、雑貨,,,,
D野積場,1級,13582,鉄鋼、雑貨,,,,
E野積場,1級,4051,鉄鋼、雑貨,,,,
辰巳ふ頭,,54136,,,,,
A野積場,特級,10858,砂利・砂,,,,
B野積場,特級,4830,砂利・砂,,,,
C野積場,特級,5460,砂利・砂,,,,
大井建材ふ頭,,21148,,,,,
若洲内貿ふ頭,1級,44194,食料工業品,,,,
（木材用荷役施設）,,258125,製材、紙,,,,
15号地木材ふ頭,,258125,,,,,
A野積場,特級,6885,砂利・砂,,,,
B野積場,特級,7290,砂利・砂,,,,
C野積場,特級,6885,砂利・砂,,,,
D野積場,1級,16033,製材,,,,
若洲建材ふ頭,,37093,,,,,
A野積場,ばら物,11147,珪砂,,,,
B野積場,ばら物,7791,石炭,,,,
C野積場,ばら物,5600,石炭,,,,
D野積場,ばら物,4800,コークス,,,,
中央防波堤内側ばら物,,29338,,,,,
合計,,773158,,,,,
