発生源,現況,今回計画,既定計画,今回計画－既定計画
工場・事業場（t/年）,4835,4835,4835,0
自動車（t/年）,13924,5030,4839,191
船舶（t/年）,4508,4821,4695,126
航空機（t/年）,3244,4964,4964,0
民生（t/年）,2005,2161,2161,0
合計（t/年）,28516,21811,21494,317
