河川名等,現況（平成22年度）COD(kg/日),現況（平成22年度）T-N(kg/日),現況（平成22年度）T-P(kg/日),将来（平成36年度）COD(kg/日),将来（平成36年度）T-N(kg/日),将来（平成36年度）T-P(kg/日)
(1)江戸川,83319.4,27404.8,2582.6,75271.5,24355.8,2129.3
(2)中川,50196.0,22868.8,1378.3,42057.3,23289.6,1112.5
(3)荒川,36745.0,15793.7,919.3,30472.8,14273.2,722.3
(4)隅田川,37169.9,36347.6,2341.6,42897.3,41247.4,2005.4
(5)多摩川,8651.1,13132.8,523.9,8865.7,14209.6,435.1
(6)古川,88.0,115.8,14.4,81.3,91.4,5.4
(7)目黒川,275.1,243.2,31.6,256.5,191.5,12.6
(8)立会川,14.6,36.8,0.7,14.4,36.7,0.7
(9)内川,1.7,0.2,0.0,0.0,0.0,0.0
(10)呑川,213.3,248.5,31.4,198.2,194.9,12.0
A砂町水再生センター,6881.3,5154.0,740.5,7275.3,6354.6,467.2
B葛西水再生センター,3230.7,3698.5,242.8,3297.0,4010.8,293.7
C森ヶ崎水再生センター,11406.1,14481.8,1537.9,14140.7,15058.4,1025.6
D芝浦水再生センター,7786.7,8805.7,338.8,9111.5,8524.7,234.5
E有明水再生センター,96.6,139.9,2.2,398.0,530.0,13.0
合計,246075.5,148472.1,10686,234337.5,152368.6,8469.3
