埋立地の一時貸付,東京港管理事務所臨海地域管理課管理担当,03-5463-0228
臨海副都心内の一時貸付（イベント利用）,臨海開発部誘致促進課振興担当,03-5320-5598
●港湾局所管用地の一時貸付（未利用地）,,
