風速（m/s）/風向,N,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW,合計,類型
0.3～1.0(出現回数),44,40,34,35,33,24,29,15,16,14,9,12,14,17,22,35,393,393
0.3～1.0（％）,（0.2）,（0.2）,（0.2）,（0.2）,（0.2）,（0.1）,（0.2）,（0.1）,（0.1）,（0.1）,（0.0）,（0.1）,（0.1）,（0.1）,（0.1）,（0.2）,（2.1）,（2.1）
1.0～2.0(出現回数),225,205,129,113,172,181,95,46,26,24,20,36,44,51,66,335,1568,1961
1.0～2.0（％）,（1.2）,（1.1）,（0.7）,（0.6）,（0.9）,（1.0）,（0.5）,（0.2）,（0.1）,（0.1）,（0.1）,（0.2）,（0.2）,（0.3）,（0.4）,（0.7）,（8.3）,（10.4）
2.0～3.0(出現回数),547,365,218,207,222,216,202,86,63,22,31,41,53,45,69,275,2662,4623
2.0～3.0（％）,（2.9）,（1.9）,（1.2）,（1.1）,（1.2）,（1.1）,（1.1）,（0.5）,（0.3）,（0.1）,（0.2）,（0.2）,（0.3）,（0.2）,（0.4）,（1.5）,（14.2）,（24.6）
3.0～4.0(出現回数),676,403,186,163,141,165,168,137,69,15,22,56,35,49,91,366,2732,7355
3.0～4.0（％）,（3.6）,（2.1）,（1.0）,（0.9）,（0.7）,（0.9）,（0.9）,（0.7）,（0.4）,（0.1）,（0.1）,（0.3）,（0.2）,（0.3）,（0.4）,（1.9）,（14.5）,（39.1）
4.0～5.0(出現回数),566,345,177,143,126,110,149,143,143,14,22,39,11,20,73,436,2517,9872
4.0～5.0（％）,（3.0）,（1.8）,（0.9）,（0.8）,（0.7）,（0.6）,（0.8）,（0.8）,（0.8）,（0.1）,（0.1）,（0.2）,（0.1）,（0.1）,（0.4）,（2.3）,（13.4）,（52.5）
5.0～6.0(出現回数),508,212,145,155,67,78,63,134,226,18,19,27,5,10,60,414,2161,12033
5.0～6.0（％）,（2.7）,（1.1）,（0.8）,（0.8）,（0.4）,（0.4）,（0.3）,（0.7）,（1.2）,（0.1）,（0.1）,（0.1）,（0.0）,（0.1）,（0.3）,（2.3）,（11.5）,（64.0）
6.0～7.0(出現回数),305,155,124,122,35,43,49,102,320,35,24,14,6,6,57,388,1785,13818
6.0～7.0（％）,（1.6）,（0.8）,（0.7）,（068）,（0.2）,（0.2）,（0.3）,（0.5）,（1.7）,（0.2）,（0.1）,（0.1）,（0.0）,（0.0）,（0.3）,（2.1）,（9.5）,（73.5）
7.0～8.0(出現回数),177,57,77,62,11,19,15,75,390,31,20,17,2,4,44,382,1383,15201
7.0～8.0（％）,（0.9）,（0.3）,（0.4）,（0.3）,（0.1）,（0.1）,（0.1）,（0.4）,（2.1）,（0.2）,（0.1）,（0.1）,0.0）,（0.0）,（0.2）,（2.0）,（7.4）,（80.8）
8.0～9.0(出現回数),87,25,27,43,3,11,8,48,393,37,19,10,1,1,34,318,1065,16266
8.0～9.0（％）,（0.5）,（0.1）,（0.1）,（0.2）,（0.0）,（0.1）,（0.0）,（0.3）,（2.1）,（0.2）,（0.1）,（0.1）,（0.0）,（0.0）,（0.2）,（1.7）,（5.7）,（86.5）
9.0～10.0(出現回数),51,8,8,18,5,2,7,36,327,48,25,2,1,3,21,214,796,17062
9.0～10.0（％）,（0.5）,（0.0）,（0.0）,（0.1）,（0.0）,（0.0）,（0.0）,（0.2）,（1.7）,（0.3）,（0.1）,（0.0）,0.0）,（0.0）,（0.1）,（1.2）,（4.2）,（90.7）
10.0～11.0(出現回数),37,4,1,6,,,7,20,290,74,21,5,1,,8,130,604,17666
10.0～11.0（％）,（0.2）,（0.0）,（0.0）,（0.0）,,,（0.0）,（0.1）,（1.5）,（0.4）,（0.1）,（0.0）,（0.0）,,（0.0）,（0.7）,（3.2）,（93.9）
11.0～12.0(出現回数),13,17,3,3,2,,5,8,203,59,27,2,,1,6,54,402,18068
11.0～12.0（％）,（0.1）,（0.1）,（0.0）,（0.0）,（0.0）,,（0.0）,（0.0）,（1.1）,（0.3）,（0.1）,（0.0）,,（0.0）,（0.0）,（0.3）,（2.1）,（96.1）
12.0～13.0(出現回数),4,1,,,,,1,6,124,53,26,2,,,5,32,254,18322
12.0～13.0（％）,（0.0）,（0.0）,,,,,（0.0）,（0.0）,（0.7）,（0.3）,（0.1）,（0.0）,,,（0.0）,（0.2）,（1.4）,（97.4）
13.0～14.0(出現回数),1,1,1,,,,2,6,82,44,24,,,,,10,171,18493
13.0～14.0（％）,（0.0）,（0.0）,（0.0）,,,,（0.0）,（0.0）,（0.4）,（0.2）,（0.1）,,,,,（0.1）,（0.9）,（98.3）
14.0～15.0(出現回数),,,,,,,,1,46,37,13,1,,,,6,104,18597
14.0～15.0（％）,,,,,,,,（0.0）,（0.2）,（0.2）,（0.1）,（0.0）,,,,（0.0）,（0.6）,（98.9）
15.0～20.0(出現回数),,,,,,2,1,7,65,58,35,,,,,3,171,18768
15.0～20.0（％）,,,,,,（0.0）,（0.0）,（0.0）,（0.3）,（0.3）,（0.2）,,,,,（0.0）,（0.9）,（99.8）
20.0～30.0(出現回数),,,,,,,,4,3,7,1,,,,,,15,18783
20.0～30.0（％）,,,,,,,,（0.0）,（0.0）,（0.0）,（0.0）,,,,,,（0.1）,（99.9）
30.0m/s以上(出現回数),,,,,,,,,2,,,,,,,,2,18785
30.0m/s以上（％）,,,,,,,,,（0.0）,,,,,,,,（0.0）,（99.9）
合計(出現回数),3241,1838,1130,1070,816,851,801,874,2788,590,358,264,173,207,546,3238,18785,
合計（％）,（17.2）,（）,（）,（5.7）,（4.3）,（4.5）,（4.3）,（4.6）,（14.8）,（3.1）,（1.9）,（1.4）,（0.9）,（1.1）,（2.9）,（17.2）,（99.9）,
累型(出現回数),3241,5079,6209,7279,8095,8946,9747,10621,13409,13999,14357,14621,14794,15001,15547,18785,,18785
累型（％）,（17.2）,（）,（）,（38.7）,（43.0）,（47.6）,（51.8）,（56.5）,（71.3）,（74.4）,（76.3）,（77.7）,（78.7）,（79.8）,（82.7）,（99.9）,,（99.9）
風速が0.3m/s未満回数(出現回数),,,,,,,,,,,,,,,,,,24
風速が0.3m/s未満回数（％）,,,,,,,,,,,,,,,,,,（0.1）
合計(出現回数),,,,,,,,,,,,,,,,,,18809
合計（％）,,,,,,,,,,,,,,,,,,（100.0）
