航路名,実入・空別,実績値Ｈ２２,推計値Ｈ30代後半,推計方法
01世界一周,実入（千ＴＥＵ）,,,取扱なし
01世界一周,空（千ＴＥＵ）,,,取扱なし
01世界一周,計（千ＴＥＵ）,,,
02北米西岸（メキンコ含む）,実入（千ＴＥＵ）,453,643,H23・H24航路比率の平均値
02北米西岸（メキンコ含む）,空（千ＴＥＵ）,117,154,H23・H24航路比率の平均値
02北米西岸（メキンコ含む）,計（千ＴＥＵ）,570,799,
03北米東岸（カリビア海含む）,実入（千ＴＥＵ）,123,202,H23・H24航路比率の平均値
03北米東岸（カリビア海含む）,空（千ＴＥＵ）,41,55,H23・H24航路比率の平均値
03北米東岸（カリビア海含む）,計（千ＴＥＵ）,163,259,
04北欧・地中海,実入（千ＴＥＵ）,359,420,H23・H24航路比率の平均値
04北欧・地中海,空（千ＴＥＵ）,74,71,H23・H24航路比率の平均値
04北欧・地中海,計（千ＴＥＵ）,433,484,
05南米西岸,実入（千ＴＥＵ）,13,28,H23・H24航路比率の平均値
05南米西岸,空（千ＴＥＵ）,2,6,H23・H24航路比率の平均値
05南米西岸,計（千ＴＥＵ）,15,35,
06南米東岸,実入（千ＴＥＵ）,,,取扱なし
06南米東岸,空（千ＴＥＵ）,,,取扱なし
06南米東岸,計（千ＴＥＵ）,,,
07南米東岸（南ア）,実入（千ＴＥＵ）,,,取扱なし
07南米東岸（南ア）,空（千ＴＥＵ）,,,取扱なし
07南米東岸（南ア）,計（千ＴＥＵ）,,,
08アフリカ,実入（千ＴＥＵ）,,,取扱なし
08アフリカ,空（千ＴＥＵ）,,,取扱なし
08アフリカ,計（千ＴＥＵ）,,,
09オセアニア,実入（千ＴＥＵ）,21,23,H23・H24航路比率の平均値
09オセアニア,空（千ＴＥＵ）,7,12,H23・H24航路比率の平均値
09オセアニア,計（千ＴＥＵ）,27,37,
10印パ・ペレンア・ベンガレ,実入（千ＴＥＵ）,23,36,H23・H24航路比率の平均値
10印パ・ペレンア・ベンガレ,空（千ＴＥＵ）,1,2,H23・H24航路比率の平均値
10印パ・ペレンア・ベンガレ,計（千ＴＥＵ）,24,36,
11東南アジア,実入（千ＴＥＵ）,1024,1698,H23・H24航路比率の平均値
11東南アジア,空（千ＴＥＵ）,131,197,H23・H24航路比率の平均値
11東南アジア,計（千ＴＥＵ）,1156,1838,
12台湾,実入（千ＴＥＵ）,20,,取扱なし
12台湾,空（千ＴＥＵ）,3,,取扱なし
12台湾,計（千ＴＥＵ）,23,,
13韓国,実入（千ＴＥＵ）,135,194,H23・H24航路比率の平均値
13韓国,空（千ＴＥＵ）,54,68,H23・H24航路比率の平均値
13韓国,計（千ＴＥＵ）,189,269,
14中国（ホンコン含む）,実入（千ＴＥＵ）,862,1323,H23・H24航路比率の平均値
14中国（ホンコン含む）,空（千ＴＥＵ）,354,469,H23・H24航路比率の平均値
14中国（ホンコン含む）,計（千ＴＥＵ）,1216,1844,
15ナホトカ,実入（千ＴＥＵ）,,,取扱なし
15ナホトカ,空（千ＴＥＵ）,,,取扱なし
15ナホトカ,計（千ＴＥＵ）,,,
16不定期航路,実入（千ＴＥＵ）,0,0,H23・H24航路比率の平均値
16不定期航路,空（千ＴＥＵ）,0,0,H23・H24航路比率の平均値
16不定期航路,計（千ＴＥＵ）,0,0,
00合計,実入（千ＴＥＵ）,3031,4568,
00合計,空（千ＴＥＵ）,785,1033,
00合計,計（千ＴＥＵ）,3816,5601,
