艇長,パース,隻数,在隻数,割合（%）,種別内訳B,種別内訳Y,6m以下B,6m以下Y,6m超え7m以下B,6m超え7m以下Y,7m超え8m以下B,7m超え8m以下Y,8m超え10m以下B,8m超え10m以下Y,10m超え13m以下B,10m超え13m以下Y,13m超え15m以下B,13m超え15m以下Y,15m超え18m以下B,15m超え18m以下Y,18m超え20m以下B,18m超え20m以下Y
10m以下,A,18,18,100,16,2,3,,5,,6,,2,2,,,,,,,,
10m以下,B,32,32,100,30,2,5,,5,,4,,15,2,1,,,,,,,
10m以下,C,36,35,97,34,1,3,,7,,8,,15,1,1,,,,,,,
10m以下,D,9,9,100,9,0,,,2,,3,,4,,,,,,,,,
10m以下,E,20,20,100,8,12,2,2,2,,2,2,2,8,,,,,,,,
10m以下,F,20,20,100,6,14,1,1,1,1,2,3,2,7,,2,,,,,,
10m以下,G,20,19,95,0,19,,1,,3,,1,,13,,1,,,,,,
10m以下,I,28,21,75,20,1,2,,3,,4,,11,1,,,,,,,,
10m以下,J,28,24,86,15,9,,,3,,3,1,8,8,1,,,,,,,
10m以下,K,22,21,95,9,12,4,1,1,1,,1,2,9,2,,,,,,,
10m以下,L,2,1,50,1,0,,,,,,,,,1,,,,,,,
10m以下,N,24,19,79,13,6,,1,2,1,7,1,4,3,,,,,,,,
10m以下,O,24,21,88,13,8,2,,2,1,3,2,6,5,,,,,,,,
10m以下,R,32,23,72,21,2,1,,5,,5,,9,2,1,,,,,,,
10m以下,S,32,19,59,14,5,2,1,3,,3,1,5,3,1,,,,,,,
10m以下,T,32,27,84,0,27,,4,,,,5,,18,,,,,,,,
10m以下,V,1,0,0,0,0,,,,,,,,,,,,,,,,
10m以下,W,32,25,78,20,5,4,,3,1,4,3,7,1,2,,,,,,,
10m以下,X,1,0,0,,,,,,,,,,,,,,,,,,
小計,,413,354,86,229,125,29,11,44,8,54,20,92,83,10,3,,,,,,
13m以下,D,7,7,100,7,0,,,,,,,2,,5,,,,,,,
13m以下,H,24,23,96,20,3,,,,,,,,,19,3,1,,,,,
13m以下,L,16,12,75,12,0,,,,,,,,,10,,2,,,,,
13m以下,M,20,16,80,0,16,,,,,,,,1,,15,,,,,,
13m以下,P,25,18,72,18,0,,,,,1,,1,,11,,5,,,,,
13m以下,Q,26,24,92,16,8,,,,,,,,,15,8,1,,,,,
13m以下,U,25,18,72,18,0,,,,,,,1,,12,,5,,,,,
13m以下,V,25,20,80,20,0,,,,,,,1,,17,0,2,,,,,
小計,,168,138,82,111,27,,,,,1,,5,1,89,26,16,0,,,,
13～15m,X,12,12,100,12,0,,,,,,,,,,,10,,2,,,
13～15m,Y,7,7,100,7,0,,,,,,,,,1,,4,,2,,,
13～15m,Z,48,47,98,38,9,,,,,,,,,,1,33,8,3,,2,
小計,,67,66,99,57,9,,,,,,,,,1,1,47,8,7,,2,
15～18m,Y,4,4,100,4,,,,,,,,,,,,,,3,,1,
15～18m,Z,4,4,100,3,1,,,,,,,,,,,,,3,1,,
小計,,8,8,100,7,1,,,,,,,,,,,,,6,1,1,
18～20m,Z,4,4,100,4,0,,,,,,,,,,,,,,,4,0
小計,,4,4,100,4,0,,,,,,,,,,,,,,,4,0
他,,,,,2,2,,,1,,,,,,1,2,,,,0,,0
総計,,660,570,86,410,164,29,11,45,8,55,20,97,84,101,32,63,8,13,1,7,0
※B：ボート、y：ヨットを示す。,,,,,574,574,40,40,53,53,75,75,181,181,133,133,71,71,14,14,7,7
