名称,級別,総面積（m2）,借受者,主要取扱品種
お台場1号上屋,,7041,東京国際埠頭、富士港運、東海運,紙、木材、鋼材
お台場2号上屋,,18260,ダイ卜ーコーポレーション、東海海運,
お台場3号上屋,,6840,山九、相模運輸倉庫,
お台場4号上屋,,6840,鈴江コーポレーション、三協、栗林運輸,
お台場5号上屋,,6865,栗林運輸、ケイヒン,農水産品
お台場6号上屋,,5622,三協、三菱倉庫,
お台場7号上屋,,6328,日本通運、望月海運,
お台場8号上屋,,4688,三井倉庫、住友倉庫,
お台場9号上屋,,5440,宇徳、アサガミ,
お台場ライナー,9棟,67924,管理者：東京港埠頭（株）,
