運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
APL[Hanjin/商船三井],東京/横浜/名古屋/神戸/赤湾/香港/レムチャバン/ホーチミンシティー/高雄/東京,3隻21日ラウンド(日/月、ウィークリー),APLＰＵＳＡＮ,2478,34133,青海公共
APL[Hanjin/商船三井],東京/横浜/名古屋/神戸/赤湾/香港/レムチャバン/ホーチミンシティー/高雄/東京,3隻21日ラウンド(日/月、ウィークリー),APLCAIRO,2478,34133,青海公共
APL[Hanjin/商船三井],東京/横浜/名古屋/神戸/赤湾/香港/レムチャバン/ホーチミンシティー/高雄/東京,3隻21日ラウンド(日/月、ウィークリー),APLJEDDAH,2478,34183,青海公共
ChengLieYangMing[Evergreen],東京/横浜/名古屋/神戸/大阪/基隆/高雄/香港/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/香港/高雄/台中/基隆/東京,4隻28日ラウンド(木/金、ウィークリー),YMPEOPLE,1620,22052,青海公共
ChengLieYangMing[Evergreen],東京/横浜/名古屋/神戸/大阪/基隆/高雄/香港/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/香港/高雄/台中/基隆/東京,4隻28日ラウンド(木/金、ウィークリー),YMIMPROVEMENT,1549,22072,青海公共
ChengLieYangMing[Evergreen],東京/横浜/名古屋/神戸/大阪/基隆/高雄/香港/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/香港/高雄/台中/基隆/東京,4隻28日ラウンド(木/金、ウィークリー),MAERSKWELLINGTON,1700,21419,青海公共
ChengLieYangMing[Evergreen],東京/横浜/名古屋/神戸/大阪/基隆/高雄/香港/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/香港/高雄/台中/基隆/東京,4隻28日ラウンド(木/金、ウィークリー),PELICAN,1809,21500,青海公共
ChengLie/YangMing[Evergreen/インターエイシアライン/T.S.Lines],東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/レムチャバン/バンコク/レムチャバン/香港/高雄/基隆/東京,4隻28日ラウンド(火、ウィークリー),TZINI,1756,24122,品川公共
ChengLie/YangMing[Evergreen/インターエイシアライン/T.S.Lines],東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/レムチャバン/バンコク/レムチャバン/香港/高雄/基隆/東京,4隻28日ラウンド(火、ウィークリー),KUOCHIA,1295,18622,品川公共
ChengLie/YangMing[Evergreen/インターエイシアライン/T.S.Lines],東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/レムチャバン/バンコク/レムチャバン/香港/高雄/基隆/東京,4隻28日ラウンド(火、ウィークリー),KUOWEI,1295,18580,品川公共
ChengLie/YangMing[Evergreen/インターエイシアライン/T.S.Lines],東京/横浜/名古屋/大阪/神戸/基隆/台中/高雄/香港/レムチャバン/バンコク/レムチャバン/香港/高雄/基隆/東京,4隻28日ラウンド(火、ウィークリー),HANSALUDWIGSBUG,1740,23305,品川公共
CSCL/GoldStar,東京/横浜/名古屋/釜山/上海/香港/蛇口/レムチャバン/南砂/香港/蛇口/厦門/東京,4隻28日ラウンド(水、ウィークリー),CSCLCALLAO,2546,34194,青海公共
CSCL/GoldStar,東京/横浜/名古屋/釜山/上海/香港/蛇口/レムチャバン/南砂/香港/蛇口/厦門/東京,4隻28日ラウンド(水、ウィークリー),CSCLMONTEVIDEO,2546,34194,青海公共
