品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,移出(千トン),,,,,,,,,,,,,
農水産品米穀類,移入(千トン),5,,,,,,,,,,,,
農水産品米穀類,計(千トン),5,,,,,,,,,,,,
農水産品野菜・果物,移出(千トン),,,,,,,,,,,,,
農水産品野菜・果物,移入(千トン),1,,,,,,,,,,,,18
農水産品野菜・果物,計(千トン),1,,,,,,,,,,,,18
農水産品水産品,移出(千トン),,,,,,,,,,,,,
農水産品水産品,移入(千トン),,,,,,,,,,,,,8
農水産品水産品,計(千トン),,,,,,,,,,,,,8
農水産品その他,移出(千トン),,,,,,,,,,,0,,
農水産品その他,移入(千トン),,,,,,,,,,,,,
農水産品その他,計(千トン),,,,,,,,,,,0,,
林産品原木,移出(千トン),,,,,,,,,,,,,
林産品原木,移入(千トン),,,,,,,,,,,,,
林産品原木,計(千トン),,,,,,,,,,,,,
林産品製材,移出(千トン),,,,,,,,,,,,,
林産品製材,移入(千トン),,,,,,,3,,,,,,
林産品製材,計(千トン),,,,,,,3,,,,,,
林産品その他,移出(千トン),,,,,,,,,,,,,
林産品その他,移入(千トン),2,,,,,,,,,,,,
林産品その他,計(千トン),2,,,,,,,,,,,,
鉱産品石炭,移出(千トン),,,,,,,,,,,,,
鉱産品石炭,移入(千トン),,,,,,,,,,,,,
鉱産品石炭,計(千トン),,,,,,,,,,,,,
鉱産品砂利・砂,移出(千トン),144,,,6,28,52,22,51,34,45,3,,45
鉱産品砂利・砂,移入(千トン),5066,4463,4202,4500,4136,4092,3697,3359,3738,3151,3275,3294,3151
鉱産品砂利・砂,計(千トン),5210,4463,4202,4506,4164,4144,3719,3409,3772,3196,3278,3294,3196
鉱産品原油,移出(千トン),,,,,,,,,,,,,
鉱産品原油,移入(千トン),845,730,1012,881,950,860,1050,993,560,435,720,1157,435
鉱産品原油,計(千トン),845,730,1012,881,950,860,1050,993,560,435,720,1157,435
鉱産品その他,移出(千トン),,,,,,1,,,,,,,
鉱産品その他,移入(千トン),,,,,1,,,,,,,,
鉱産品その他,計(千トン),,,,,1,1,,,,,,,
金属機械工業品鉄鋼,移出(千トン),69,15,,0,5,3,8,1,0,8,,,8
金属機械工業品鉄鋼,移入(千トン),1215,1086,1094,893,893,929,1027,1009,597,838,807,820,838
金属機械工業品鉄鋼,計(千トン),1284,1100,1094,894,897,932,1035,1011,598,846,807,820,846
金属機械工業品非鉄金属金属類,移出(千トン),,,,1,5,8,,,,,0,,
金属機械工業品非鉄金属金属類,移入(千トン),1,0,,,5,,,0,,,1,0,
金属機械工業品非鉄金属金属類,計(千トン),1,0,,1,10,8,,0,,,1,0,
金属機械工業品輸送機械(フェリー除),移出(千トン),,,,,,,,,,,,,
金属機械工業品輸送機械(フェリー除),移入(千トン),,,0,,0,,,0,,0,0,,
金属機械工業品輸送機械(フェリー除),計(千トン),0,,0,,0,,,,0,,1,0,
金属機械工業品その他,移出(千トン),0,,0,,0,,,0,0,0,1,0,
金属機械工業品その他,移入(千トン),333,344,354,348,317,313,229,194,162,123,129,133,123
金属機械工業品その他,計(千トン),5250,4969,5078,4574,4413,4250,4197,4196,3961,3701,3663,3657,3701
化学工業品石油類,移出(千トン),5583,5312,5431,4923,4730,4564,4426,4390,4122,3824,3792,3790,3824
化学工業品石油類,移入(千トン),,,,,30,8,,1,,,,,
化学工業品石油類,計(千トン),1256,1995,2282,2442,2281,2167,2066,1864,1697,1702,1765,1833,1702
化学工業品セメント,移出(千トン),1256,1995,2282,2442,2311,2175,2066,1865,1697,1702,1765,1833,1702
化学工業品セメント,移入(千トン),0,,,,,,,,,,0,,
化学工業品セメント,計(千トン),2,,,0,,1,,,3,,,,
化学工業品その他,移出(千トン),3,,,0,,1,,,3,,0,,
化学工業品その他,移入(千トン),,,,,,,,,,,,,
化学工業品その他,計(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,移出(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,移入(千トン),,,,,,,,,,,,,
軽工業品紙・パルプ,計(千トン),,,,,,,,,,,,,
軽工業品砂糖,移出(千トン),,,,,,,,,,,,,
軽工業品砂糖,移入(千トン),,,,,,,,,,,,,
軽工業品砂糖,計(千トン),,,,,,,,,,,,,
軽工業品その他,移出(千トン),168,153,135,120,116,129,130,116,85,71,67,83,71
軽工業品その他,移入(千トン),,,,,,,,,,,,,
軽工業品その他,計(千トン),168,153,135,120,116,129,130,116,85,71,67,83,71
雑工業品,移出(千トン),,,,,,,,,,,,,
雑工業品,移入(千トン),,,,,,,,,,,,,
雑工業品,計(千トン),,,,,,,,,,,,,
特殊品金属くず,移出(千トン),,,,,,,,,,,,,
特殊品金属くず,移入(千トン),,,,0,4,2,1,1,1,0,1,0,0
特殊品金属くず,計(千トン),,,,0,4,2,1,1,1,0,1,0,0
特殊品廃棄物(廃土砂),移出(千トン),,,4,1,,,,,,,,,
特殊品廃棄物(廃土砂),移入(千トン),,,,2,,0,0,,,,,,
特殊品廃棄物(廃土砂),計(千トン),,,4,2,,0,0,,,,,,
特殊物取寄せ品,移出(千トン),,,,,,3,0,,,1,,,1
特殊物取寄せ品,移入(千トン),1,,,,0,,,,,,,,
特殊物取寄せ品,計(千トン),1,,,,0,3,0,,,1,,,1
特殊品その他,移出(千トン),,,,,3,3,24,27,21,6,2,0,6
特殊品その他,移入(千トン),,,,,4,11,21,8,0,17,77,69,17
特殊品その他,計(千トン),,,,,7,14,46,35,21,24,80,69,24
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計(ベース貨物),移出(千トン),714,511,493,477,504,521,413,391,303,254,202,216,254
合計(ベース貨物),移入(千トン),13644,13242,13667,13293,12686,12312,12062,11430,10557,9845,10310,10832,9871
合計(ベース貨物),計(千トン),14358,13753,14161,13770,13190,12833,12475,11820,10859,10099,10512,11047,10125
