種類/艇長,6m以下,6m超え7m以下,7m超え8m以下,8m超え10m以下,10m超え13m以下,13m超え15m以下,15m超え18m以下,18m超え20m以下,計,割合(%)
ボート,29,45,55,97,101,63,13,7,410,71
ヨット,11,8,20,84,32,8,1,0,164,29
計,40,53,75,181,133,71,14,7,574,100
