地点,路線名,地点名,用途地域,車線数,環境基準要請限度（騒音）,要請限度（振動）
1,都道環状三号線・首都高速9号線,江東区辰巳2-1,第1種中高層住居専用地域,6,幹線交通を担う道路に近接する空間,第1種区域
2,臨港道路新木場・若洲線,江東区新木場1-11,準工業地域,6,（適用外）,（適用外）
3,東京港臨海道路,江東区青海2,（無指定）,9,（適用外）,（適用外）
4,臨港道路城南島・大井1号線,大田区城南島1-3,工業専用地域,6,（適用外）,（適用外）
5,臨港道路大井ふ頭その1線,大田区東海3-1,準工業地域,8,幹線交通を担う道路に近接する空間,第2種区域
6,臨港道路大井2号線,品川区八潮5-7,第1種住居地域,6,幹線交通を担う道路に近接する空間,第1種区域
7,都道環状六号線,品川区東品川2-2,商業地域,6,幹線交通を担う道路に近接する空間,第2種区域
8,都道品川埠頭線,港区港南4-2,第1種住居地域,7,幹線交通を担う道路に近接する空間,第1種区域
9,臨港道路青海縦貫線,江東区青海2,準工業地域,7,（適用外）,（適用外）
10,臨港道路有明ふ頭連絡線,江東区有明4,準工業地域,6,（適用外）,（適用外）
11,臨港道路有明南縦貫線,江東区有明3,工業専用地域,7,（適用外）,（適用外）
