品目,出入,実績値Ｈ２２,推計値Ｈ３０代後半,推計方法
農水産品米穀類,移出(千トン),2,1,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品米穀類,移入(千トン),30,30,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品米穀類,計(千トン),32,31,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品野菜・果物,移出(千トン),11,11,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品野菜・果物,移入(千トン),6,6,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品野菜・果物,計(千トン),17,18,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品水産品,移出(千トン),7,3,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品水産品,移入(千トン),20,16,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品水産品,計(千トン),27,19,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品その他,移出(千トン),7,6,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品その他,移入(千トン),0,0,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
農水産品その他,計(千トン),7,6,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
