台帳コード,施設名称,記号,延長,水深,席数,船型（D/W）,備考
C-4-15,青海ふ頭桟橋（コンテナ）,A2,350.00,-15.0,1,50000,
C-1-16,青海ふ頭岸壁（コンテナ）,A1,300.00,-13.0,1,35000,
C-4-15-1,青海ふ頭桟橋（コンテナ）,A0,220.00,-13.0,1,35000,
C-1-12,13号地ふ頭岸壁（有明）,RA-RJ,750.00,-5.0,10,1000,
C-1-06,10号地ふ頭西岸壁,VA-VK,1500.00,-7.5,11,5000,
C-1-07,10号地ふ頭東岸壁,VL-VX,920.00,-5.0,13,1000,
C-1-14,フェリーふ頭岸壁（第1）,VAA,193.00,-7.5,1,6000G/T,
C-1-15,フェリーふ頭岸壁（第4）,VAD,253.00,-8.5,1,13000G/T,
C-4-32,フェリーふ頭桟橋（第2）,VAB,218.00,-7.5,1,6000G/T,
C-4-33,フェリーふ頭桟橋（第3）,VAC,238.00,-8.5,1,13000G/T,
C-1-45,10号地その1多目的ふ頭岸壁,MP,180.00,-7.5,1,5000G/T,
C-1-01,品川ふ頭外貿岸壁（コンテナ）,"SC,SD",346.80,-10.0,2,15000,
C-1-01-1,品川ふ頭内貿岸壁,SH,190.80,-10.0,1,15000,
C-4-01,品川ふ頭外貿桟橋（コンテナ）,SE,207.80,-10.0,1,15000,
C-4-01,品川ふ頭外貿桟橋,SF,189.50,-10.0,1,15000,
C-4-01-1,品川ふ頭内貿桟橋,SG,189.50,-10.0,1,15000,
C-1-02,品川ふ頭内貿岸壁,SI-SK,476.12,-8.0,3,6000,
C-4-29,大井コンテナふ頭桟橋,6,330.00,-15.0,1,50000,
C-4-30-3,大井コンテナふ頭桟橋,4,330.00,-15.0,1,50000,
C-4-31,大井コンテナふ頭桟橋,5,330.00,-15.0,1,50000,
C-4-13,大井水産物ふ頭,"OJ,OK",450.00,-12.0,2,30000,
C-4-14-1,大井食品ふ頭,OL,229.50,-12.0,1,30000,
C-4-14-2,大井食品ふ頭,OM,190.00,-11.0,1,15000,
C-4-14-3,大井食品ふ頭,ON,190.00,-11.0,1,15000,
C-1-08,大井その2建材ふ頭岸壁,OOD-OOG,280.00,-5.0,4,1000,
C-4-14-4,城南島建設発生土ふ頭桟橋,OOI,160.00,-7.5,1,15000,
C-4-04,晴海ふ頭桟橋,HI,161.03,-9.0,1,10000,
C-4-05,晴海ふ頭桟橋,HJ,190.00,-10.0,1,15000,
C-4-06,晴海ふ頭桟橋,"HK,HL",456.00,-10.0,2,20000G/T,
C-4-10,月島ドルフィン桟橋,"F4,F5",266.00,-7.5,2,5000,
C-1-03-1,芝浦ふ頭岸壁,B,130.00,-7.5,1,5000,
C-1-03-2,芝浦ふ頭岸壁,C-G,650.00,-7.5,5,5000,
C-1-04,芝浦ふ頭岸壁,G’,90.00,-5.5,1,2000,
C-4-12,竹芝ふ頭桟橋,N-P,465.00,-7.5,3,5000,
C-4-11-1,日の出ふ頭桟橋,H-K,376.00,-6.7,4,3000,
C-4-11-2,日の出ふ頭桟橋,"L,M",188.00,-6.7,2,3000,
C-1-46,辰巳ふ頭岸壁,NA-NM,1040.00,-5.0,13,1000,
C-1-10-1,若洲建材ふ頭岸壁,LLC-LLE,270.00,-5.5,3,2000,
C-1-10-2,若洲建材ふ頭岸壁,LLF,100.00,-5.5,1,2000,
C-1-09,15号地木材ふ頭岸壁,LB-LD,720.00,-12.0,3,25000,
C-1-09-1,若洲内貿ふ頭岸壁,LA,190.00,-11.0,1,15000,
C-4-20,中央防波堤内側ばら物ふ頭桟橋,X2,240.00,-12.0,1,30000,
C-4-96,中央防波堤内側建設発生土ふ頭桟橋,X8,130.00,-7.5.0,1,5000,
C-5-02,芝浦通船桟橋,,9.00,-3.0,,50,※1
C-1-11,城南島小型油槽船係留施設,OOT,387.20,-4.0,,200G/T,
C-4-17,城南島小型油槽船係留施設,OOT,50.00,-4.0,,,
C-5-30-1.2,日の出ふ頭小型船発着所浮桟橋その1,,58.40,-4.0,,,
C-5-31-1.2,日の出ふ頭小型船発着所浮桟橋その2,,58.40,-4.0,,,
C-5-04-1.2,有明小型船発着所浮桟橋,,58.40,-4.0,,,
C-5-05-1.2,青海小型船発着所浮桟橋,,58.40,-4.0,,,
C-5-29,朝潮浮桟橋（晴海小型船発着所）,,18.00,-3.0,,,※1
C-3-03,木材投下泊地ドルフィン,"M1-5,10,11",1421.00,-10.0,7,15000,
C-2-03,第一番係船浮標,～NO2,200.00,-7.5,1,12000,
C-2-04,第二番係船浮標,～NO3,200.00,-7.5,1,9000,
C-2-05,第三番係船浮標,,40.00,-7.5,,12000,
C-4-16-1,芝浦小型船桟橋その1,,35.50,-2.5,,,
C-4-16-2,芝浦小型船桟橋その2,S8,120.00,-4.0,,,
C-4-16-3,芝浦小型船桟橋その3,,161.90,-4.0,,,
C-1-05,朝潮ふ頭物揚場,G7,385.00,-5.0,,700,
C-6-05,豊洲ふ頭物揚場,T2,283.13,-4.0,,500,
C-6-04,月島ふ頭物揚場,F1,340.00,-3.5,,300,
C-1-17,月島ふ頭物揚場,F2,100.00,-3.0～-4.5,,300,
C-1-18,月島ふ頭物揚場,F6,355.00,-4.5,,500,
