品目,出入,実績値Ｈ２２,実績値Ｈ３０代後半,推計方針
農水産品米穀類,輸出(千トン),3,3,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品米穀類,輸入(千トン),151,157,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品米穀類,計(千トン),155,161,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品野菜・果物,輸出(千トン),24,24,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品野菜・果物,輸入(千トン),910,829,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品野菜・果物,計(千トン),935,854,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品水産品,輸出(千トン),146,146,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品水産品,輸入(千トン),881,963,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品水産品,計(千トン),1027,1108,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品その他,輸出(千トン),51,59,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品その他,輸入(千トン),1178,1212,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
農水産品その他,計(千トン),1229,1271,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品原木,輸出(千トン),2,2,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品原木,輸入(千トン),7,7,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品原木,計(千トン),8,8,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品製材,輸出(千トン),13,16,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品製材,輸入(千トン),594,640,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品製材,計(千トン),607,656,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品その他,輸出(千トン),0,0,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品その他,輸入(千トン),121,137,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
林産品その他,計(千トン),121,137,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品石炭,輸出(千トン),0,0,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品石炭,輸入(千トン),34,35,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品石炭,計(千トン),34,35,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品砂利・砂,輸出(千トン),2,2,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品砂利・砂,輸入(千トン),126,133,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品砂利・砂,計(千トン),128,135,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品原油,輸出(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品原油,輸入(千トン),3,3,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品原油,計(千トン),3,3,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品その他,輸出(千トン),8,8,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品その他,輸入(千トン),101,140,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
鉱産品その他,計(千トン),109,148,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品鉄鋼,輸出(千トン),281,738,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品鉄鋼,輸入(千トン),147,149,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品鉄鋼,計(千トン),429,887,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品非鉄金属金属類,輸出(千トン),360,365,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品非鉄金属金属類,輸入(千トン),1060,2044,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品非鉄金属金属類,計(千トン),1420,2409,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品輸送機械(フェリー除),輸出(千トン),1754,3551,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品輸送機械(フェリー除),輸入(千トン),975,997,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品輸送機械(フェリー除),計(千トン),2729,4548,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品その他,輸出(千トン),2669,3292,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品その他,輸入(千トン),4686,6472,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
金属機械工業品その他,計(千トン),7354,9764,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品石油類,輸出(千トン),24,24,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品石油類,輸入(千トン),23,24,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品石油類,計(千トン),47,48,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品セメント,輸出(千トン),4,5,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品セメント,輸入(千トン),3,5,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品セメント,計(千トン),7,10,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品その他,輸出(千トン),2328,2522,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
