品目,出入,実績値Ｈ２２,実績値Ｈ30代後半,推計方法
農水産品米穀類,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品米穀類,輸入(千トン),303,297,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品米穀類,計(千トン),303,297,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品野菜・果物,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品野菜・果物,輸入(千トン),660,741,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品野菜・果物,計(千トン),660,741,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品水産品,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品水産品,輸入(千トン),16,19,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品水産品,計(千トン),16,19,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品その他,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
農水産品その他,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品原木,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品原木,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
