類型,地点,夏季平均値（mg/L）現況,夏季平均値（mg/L）今回計画,夏季平均値（mg/L）既定計画,年平均値（mg/L）現況,年平均値（mg/L）今回計画,年平均値（mg/L）既定計画,年平均値（mg/L）今回-既定,環境基準値（mg/L）
４類型,St.5,3.2,3.3,3.4,2.3,3.1,3.1,0.0,1以下
４類型,St.6,1.9,2.3,2.2,1.6,2.1,2.2,-0.1,1以下
４類型,St.11,2.8,3.0,3.1,2.3,2.9,2.9,0.0,1以下
４類型,St.23,2.6,5.1,5.0,3.4,4.4,4.4,0.0,1以下
４類型,St.8,2.7,2.0,2.0,2.2,1.9,1.9,0.0,1以下
４類型,St.22,1.4,1,1.1,1.1,1.2,1.2,0.0,1以下
４類型,St.25,1.6,2.1,2.4,1.9,2.3,2.3,0.0,1以下
