No,目名,科名,種名,重要種1.天然記念物,重要種2.種の保存法,重要種3.環境省RL,重要種4.東京都RL
1,カイツブリ目,カイツブリ科,カイツブリ,,,,NT
2,カイツブリ目,カイツブリ科,カンムリカイツブリ,,,,留意
3,コウノトリ目,サギ科,ササゴイ,,,,CR
4,コウノトリ目,サギ科,ダイサギ,,,,VU
5,コウノトリ目,サギ科,コサギ,,,,VU
6,カモ目,カモ科,スズガモ,,,,留意
7,カモ目,カモ科,ウミアイサ,,,,DD
8,タカ目,タカ科,トビ,,,,NT
9,タカ目,タカ科,オオタカ,,国内,NT,CR
10,タカ目,タカ科,ノスリ,,,,EN
11,タカ目,ノヤブサ科,チョウゲンボウ,,,,EN
12,ツレ目,クイナ科,オオバン,,,,VU
13,チドリ目,シギ科,キョウジョシギ,,,,VU
14,チドリ目,シギ科,ノマシギ,,,,NT
15,チドリ目,シギ科,キアシシギ,,,,VU
16,チドリ目,シギ科,イソシギ,,,,VU
17,スズメ目,モズ科,モズ,,,,VU
18,スズメ目,ツグミ科,イソヒヨドリ,,,,DD
合計,7目,9科,18種,0種,1種,1種,18種
