外内別,種別,トン階級,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値（参考）H23,実績値（参考）H24,推計値Ｈ３７
内航船,合計,5～99（隻）,3581,3384,3054,2369,1847,1627,1668,1765,1524,1128,890,753,1128
内航船,合計,100～499（隻）,17146,17906,18199,15940,16906,16345,16005,15394,14354,12328,12086,11539,14607
内航船,合計,500～999（隻）,1591,1613,1600,1597,1667,1827,1952,2054,1794,2309,2363,2435,4671
内航船,合計,1000～2999（隻）,1090,1032,801,643,617,905,1172,1253,1085,1222,1316,1388,1217
内航船,合計,3000～5999（隻）,2225,1873,1741,1842,1799,1748,1644,1344,1278,1206,1299,1479,1264
内航船,合計,6000～9999（隻）,1132,1050,1058,1035,1051,1000,1069,1168,990,866,865,893,1047
内航船,合計,10000～19999（隻）,995,1083,1231,1452,1450,1472,1327,1185,1154,1204,1369,1278,1435
内航船,合計,20000～29999（隻）,80,64,61,22,15,18,23,10,14,19,13,20,56
内航船,合計,30000～39999（隻）,-,-,3,3,1,1,-,-,-,1,-,-,-
内航船,合計,40000～49999（隻）,-,-,-,1,-,1,-,-,-,-,-,-,-
内航船,合計,50000～59999（隻）,-,-,-,-,-,1,2,-,-,-,-,2,15
内航船,合計,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航船,合計,合計,27840,28005,27748,24904,25353,24945,24862,24173,22193,20283,20201,19787,25440
内航,うちフィーダー,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,100～499（隻）,352,339,308,292,458,511,548,690,598,622,606,709,4380
内航,うちフィーダー,500～999（隻）,47,53,110,155,142,377,418,470,417,391,347,441,2753
内航,うちフィーダー,1000～2999（隻）,76,41,18,-,1,-,-,-,-,-,-,-,-
内航,うちフィーダー,3000～5999（隻）,252,218,211,77,78,76,71,1,-,-,4,1,-
内航,うちフィーダー,6000～9999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,10000～19999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,20000～29999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,30000～39999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,40000～49999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,50000～59999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちフィーダー,小計,727,651,647,524,679,964,1037,1161,1015,1013,957,1151,7133
内航,うちユニット船,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちユニット船,100～499（隻）,-,-,-,-,-,4,-,-,-,-,1,-,-
内航,うちユニット船,500～999（隻）,,1,-,-,-,1,-,-,-,-,-,-,-
内航,うちユニット船,1000～2999（隻）,370,372,233,116,99,118,118,132,187,109,46,34,140
内航,うちユニット船,3000～5999（隻）,334,346,277,419,358,440,364,202,203,203,194,182,261
内航,うちユニット船,6000～9999（隻）,774,886,907,818,824,774,847,937,797,636,638,661,817
内航,うちユニット船,10000～19999（隻）,247,348,487,742,745,763,793,789,787,811,915,890,1042
内航,うちユニット船,20000～29999（隻）,-,-,-,-,-,-,-,-,1,-,-,-,-
内航,うちユニット船,30000～39999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちユニット船,40000～49999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちユニット船,50000～59999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちユニット船,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うちユニット船,小計,1725,1953,1904,2095,2026,2100,2122,2060,1975,1759,1794,1767,2260
内航,うち客船,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち客船,100～499（隻）,395,1845,2041,-,1045,1049,1016,1325,1600,1479,1510,1578,-
内航,うち客船,500～999（隻）,-,2,-,-,2,-,-,-,-,-,-,-,-
内航,うち客船,1000～2999（隻）,36,32,35,36,36,36,36,36,36,36,36,36,-
内航,うち客船,3000～5999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち客船,6000～9999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち客船,10000～19999（隻）,-,2,-,-,2,-,-,-,-,-,-,-,-
内航,うち客船,20000～29999（隻）,80,64,61,21,15,18,22,10,13,19,13,20,56
内航,うち客船,30000～39999（隻）,-,-,3,2,1,-,-,-,-,1,-,-,-
内航,うち客船,40000～49999（隻）,-,-,-,1,-,1,-,-,-,-,-,-,-
内航,うち客船,50000～59999（隻）,-,-,-,-,-,1,2,-,-,-,-,2,15
内航,うち客船,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち客船,小計,511,1945,2140,60,1101,1105,1076,1371,1649,1535,1559,1636,71
内航,うち内航フェリー,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,100～499（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,500～999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,1000～2999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,3000～5999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,6000～9999（隻）,129,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,10000～19999（隻）,637,631,639,641,635,638,458,331,306,333,400,334,333
内航,うち内航フェリー,20000～29999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,30000～39999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,40000～49999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,50000～59999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,うち内航フェリー,小計,766,631,639,641,635,638,458,331,306,333,400,334,333
内航,その他貨物船等,5～99（隻）,3581,3384,3054,2369,1847,1627,1668,1765,1524,1128,890,753,1128
内航,その他貨物船等,100～499（隻）,16399,15722,15850,15648,15403,14781,14441,13379,12156,10227,9969,9252,10227
内航,その他貨物船等,500～999（隻）,1544,1557,1490,1442,1523,1449,1534,1584,1377,1918,2016,1994,1918
内航,その他貨物船等,1000～2999（隻）,608,587,515,491,481,751,1018,1085,862,1077,1234,1318,1077
内航,その他貨物船等,3000～5999（隻）,1639,1309,1253,1346,1363,1232,1209,1141,1075,1003,1101,1296,1003
内航,その他貨物船等,6000～9999（隻）,229,164,151,217,227,226,222,231,193,230,227,232,230
内航,その他貨物船等,10000～19999（隻）,111,102,105,69,68,71,76,65,61,60,54,54,60
内航,その他貨物船等,20000～29999（隻）,-,-,-,1,-,-,1,-,-,-,-,-,-
内航,その他貨物船等,30000～39999（隻）,-,-,-,1,-,1,-,-,-,-,-,-,-
内航,その他貨物船等,40000～49999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,その他貨物船等,50000～59999（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,その他貨物船等,60000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-,-
内航,その他貨物船等,小計,24111,22825,22418,21584,20912,20138,20169,19250,17248,15643,15491,14899,15643
