運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船ＴＥＵ,投入船ＤＷＴ,利用ターミナル
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＭＯＬＣＯＭＦＯＲＴ,8600,90613,大井Ｏ3/4
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＭＯＬＣＲＥＡＴＩＯＮ,8110,90678,大井Ｏ3/4
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＭＯＬＣＨＡＲＩＳＭＡ,8110,90630,大井Ｏ3/4
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＭＯＬＣＯＭＰＥＴＥＮＣＥ,8110,90613,大井Ｏ3/4
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＭＯＬＣＯＵＲＡＧＥ,8600,90634,大井Ｏ3/4
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＮＹＫＯＣＥＡＮＵＳ,9120,99563,大井Ｏ6/7
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＮＹＫＶＥＧＡ,9012,103310,大井Ｏ6/7
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＮＹＫＶＥＳＴＡ,9012,103260,大井Ｏ6/7
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＮＹＫＶＥＮＵＳ,9012,103207,大井Ｏ6/7
ＡＰＬＨａｐａｇＬｉｏｙｄＨｙｕｎｄａｉ三井商船日本郵船ＯＯＣＬ,神戸/名古屋/清水/東京/香港/カイメップ/シンガポール／ジェッダロッテルダム/ハンブルク/サザンプトン/ルアーブル/シンガポール/香港/神戸,１１隻７７日ラウンド（水/金、ウィークリー）,ＮＹＫＯＬＹＭＰＵＳ,8628,99563,大井Ｏ6/7
