類型,地点,夏季平均値（mg/L）現況,夏季平均値（mg/L）今回計画,夏季平均値（mg/L）規定計画,夏季平均値（mg/L）今回-既定,環境基準値（mg/L）
C類型,St.5,1.2,0.0,0.0,0.0,2以上
C類型,St.6,1.3,0.4,0.4,0.0,2以上
C類型,St.11,0.5,0.6,0.6,0.0,2以上
C類型,St.23,2.6,4.5,4.5,0.0,2以上
B類型,St.8,4.6,2.8,2.8,0.0,5以上
B類型,St.22,1.3,2.0,2.0,0.0,5以上
B類型,St.25,0.5,2.2,2.2,0.0,5以上
