品目,出入,実績値Ｈ１８,実績値Ｈ１９,実績値Ｈ２０,実績値Ｈ２１,実績値Ｈ２２,推計値Ｈ３０代後半,推計方法類型,推計方法
農水産品米穀類,移出(%),89.7,99.9,99.4,95.8,94.5,95.9,２型,直近5ヵ年平均
農水産品米穀類,移入(%),52.1,45.6,44.0,37.2,34.5,34.5,４型,現状維持
農水産品米穀類,計(%),72.9,71.5,71.5,71.4,60.3,60.9,,
農水産品野菜・果物,移出(%),53.1,74.1,50.1,62.2,66.1,61.1,２型,直近5ヵ年平均
農水産品野菜・果物,移入(%),83.1,88.8,86.1,87.9,87.1,86.6,２型,直近5ヵ年平均
農水産品野菜・果物,計(%),72.9,83.2,73.6,77.5,78.3,76.9,,
農水産品水産品,移出(%),74.3,99.4,99.0,53.7,71.4,79.6,２型,直近5ヵ年平均
農水産品水産品,移入(%),21.3,35.8,18.9,20.0,31.4,25.5,２型,直近5ヵ年平均
農水産品水産品,計(%),46.2,55.9,32.1,33.6,49.1,45.3,,
農水産品その他,移出(%),92.8,95.1,8.8,35.4,31.4,52.7,２型,直近5ヵ年平均
農水産品その他,移入(%),73.4,99.8,99.5,99.5,99.8,99.8,３型,現状維持
農水産品その他,計(%),77.2,98.6,36.5,74.3,74.2,79.5,,
林産品原木,移出(%),2.1,,4.0,,100.0,100.0,３型,現状維持
林産品原木,移入(%),,,0.7,3.6,1.1,1.1,２型,直近5ヵ年平均
林産品原木,計(%),0.2,,0.5,3.6,1.5,12.3,,
林産品製材,移出(%),74.1,78.7,25.3,31.6,13.2,13.2,４型,現状維持
林産品製材,移入(%),97.1,99.9,84.6,79.3,70.6,70.6,４型,現状維持
林産品製材,計(%),88,90.4,45.0,43.8,34.1,35.2,,
林産品その他,移出(%),86.6,77.4,76.1,80.1,89.5,81.9,２型,直近5ヵ年平均
林産品その他,移入(%),94.7,94.9,88.9,47.6,76.0,80.4,２型,直近5ヵ年平均
林産品その他,計(%),92.9,86.4,80.2,68.3,85.6,81.5,,
鉱産品石炭,移出(%),7.4,100,,1.0,100,41.7,２型,直近5ヵ年平均
鉱産品石炭,移入(%),30.9,0.2,,,8.7,13.2,２型,直近5ヵ年平均
鉱産品石炭,計(%),26.2,0.9,,1.0,13.6,8.4,,
鉱産品砂利・砂,移出(%),30.4,21.8,15.0,18.2,45.3,26.1,２型,直近5ヵ年平均
鉱産品砂利・砂,移入(%),0.3,0.1,0.2,0.1,0.1,0.2,２型,直近5ヵ年平均
鉱産品砂利・砂,計(%),0.6,0.4,0.5,0.4,0.5,0.7,,
鉱産品原油,移出(%),100.0,100.0,,100.0,100.0,100.0,３型,現状維持
鉱産品原油,移入(%),100.0,,,,100.0,,５型,取扱なし
鉱産品原油,計(%),100.0,100.0,,100.0,100.0,100.0,,
鉱産品その他,移出(%),89.0,64.0,33.4,100.0,0.9,57.5,２型,直近5ヵ年平均
鉱産品その他,移入(%),24.6,8.1,6.4,8.8,12.3,12.0,２型,直近5ヵ年平均
鉱産品その他,計(%),27.6,9.3,6.8,9.2,7.6,7.7,,
金属機械工業品鉄鋼,移出(%),40.1,62.1,68.3,66.8,33.0,54.1,２型,直近5ヵ年平均
金属機械工業品鉄鋼,移入(%),6.8,12.5,12.8,14.9,7.1,10.8,２型,直近5ヵ年平均
金属機械工業品鉄鋼,計(%),13.8,26.2,24.2,24.5,11.8,20.1,,
金属機械工業品非鉄金属金属類,移出(%),54.2,36.9,34.5,55.6,52.9,46.8,２型,直近5ヵ年平均
金属機械工業品非鉄金属金属類,移入(%),32.6,18.4,16.7,17.2,17.5,20.5,２型,直近5ヵ年平均
金属機械工業品非鉄金属金属類,計(%),45.4,27.9,25.8,33.1,32.2,33.4,,
金属機械工業品輸送機械(フェリー除),移出(%),96.4,95.9,94.6,95.9,97.1,96.0,２型,直近5ヵ年平均
金属機械工業品輸送機械(フェリー除),移入(%),94.8,91.9,88.8,94.5,96.7,93.3,２型,直近5ヵ年平均
