品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,輸出(千トン),38,29,20,33,25,44,61,2,2,3,2,2,4
農水産品米穀類,輸入(千トン),468,370,855,1042,895,712,652,180,176,151,149,144,179
農水産品米穀類,計(千トン),506,399,875,1075,920,756,713,183,178,155,151,146,183
農水産品野菜・果物,輸出(千トン),64,92,64,100,85,95,92,38,30,24,20,13,28
農水産品野菜・果物,輸入(千トン),904,916,1241,1223,1030,924,993,765,744,910,1009,1081,944
農水産品野菜・果物,計(千トン),967,1008,1304,1323,1116,1019,1085,803,774,935,1029,1094,971
農水産品水産品,輸出(千トン),159,507,554,486,367,391,335,147,158,146,130,152,166
農水産品水産品,輸入(千トン),1162,1830,1568,1584,1280,1100,948,966,818,881,925,972,1096
農水産品水産品,計(千トン),1321,2337,2123,2070,1647,1491,1282,1113,976,1027,1055,1124,1261
農水産品その他,輸出(千トン),123,251,180,287,233,221,227,52,59,51,40,46,67
農水産品その他,輸入(千トン),1629,1432,1721,1784,1789,1465,1313,1176,1014,1178,1277,1335,1379
農水産品その他,計(千トン),1752,1683,1901,2071,2021,1686,1540,1227,1073,1229,1317,1381,1446
林産品原木,輸出(千トン),14,12,4,7,10,5,5,1,1,2,1,1,2
林産品原木,輸入(千トン),28,81,20,43,80,30,21,10,6,7,8,6,8
林産品原木,計(千トン),42,92,24,50,90,35,26,11,8,8,9,7,9
林産品製材,輸出(千トン),28,53,87,130,106,65,74,9,11,13,10,7,18
林産品製材,輸入(千トン),803,856,1154,1379,799,808,690,613,529,594,652,681,729
林産品製材,計(千トン),831,909,1242,1509,904,873,764,622,539,607,662,688,747
林産品その他,輸出(千トン),75,76,81,140,169,153,196,3,1,0,1,1,0
林産品その他,輸入(千トン),174,93,156,188,222,233,273,144,123,121,126,120,155
林産品その他,計(千トン),249,169,237,329,391,386,468,146,124,121,127,122,156
鉱産品石炭,輸出(千トン),0,0,1,1,1,1,1,,0,0,0,0,0
鉱産品石炭,輸入(千トン),15,9,16,12,8,6,11,29,37,34,39,37,40
鉱産品石炭,計(千トン),15,9,17,13,9,7,13,29,37,34,39,37,40
鉱産品砂利・砂,輸出(千トン),2,2,3,9,17,18,13,4,2,2,2,2,2
鉱産品砂利・砂,輸入(千トン),18,20,50,102,206,172,178,133,122,126,125,128,151
鉱産品砂利・砂,計(千トン),20,22,54,111,223,190,191,137,123,128,126,130,153
鉱産品原油,輸出(千トン),1,0,0,0,1,1,3,0,0,,,,
鉱産品原油,輸入(千トン),1,,1,1,0,1,2,2,1,3,3,2,3
鉱産品原油,計(千トン),2,0,1,1,1,2,5,2,1,3,3,2,3
鉱産品その他,輸出(千トン),30,9,4,5,3,6,4,7,7,8,8,9,9
鉱産品その他,輸入(千トン),81,64,56,45,58,43,48,119,78,101,119,141,159
鉱産品その他,計(千トン),111,73,61,50,61,49,52,126,85,109,127,150,169
金属機械工業品鉄鋼,輸出(千トン),31,56,46,56,50,64,95,209,213,281,280,316,840
金属機械工業品鉄鋼,輸入(千トン),47,80,23,21,56,35,43,136,101,147,185,172,170
金属機械工業品鉄鋼,計(千トン),78,135,70,77,106,100,138,344,314,429,465,488,1010
金属機械工業品非鉄金属金属類,輸出(千トン),196,186,182,197,220,366,419,371,294,360,385,360,416
金属機械工業品非鉄金属金属類,輸入(千トン),299,311,335,438,494,596,692,1113,888,1060,1161,1154,2326
金属機械工業品非鉄金属金属類,計(千トン),495,497,517,634,714,962,1111,1484,1182,1420,1546,1514,2741
金属機械工業品輸送機械(フェリー除),輸出(千トン),1647,1734,2235,2141,2161,1977,1940,1994,1335,1754,1726,1777,4041
金属機械工業品輸送機械(フェリー除),輸入(千トン),764,586,784,848,760,809,721,997,749,975,962,1034,1135
