運航社,船名,TEU,DWT,利用ターミナル
CCL,FRIESEDIJK,887,12306,青海公共
CCL,DELIA,889,12253,青海公共
CCL,CCLNINGBO,698,8157,青海公共
CCL,RBDESPERANZA,698,8210,青海公共
COSCOT.S.Lines,CAIYUNHE,1432,23845,青海A4
COSCOT.S.Lines,MIYUNHE,1432,24259,青海A4
COSCO,HUTUOHE,764,12687,中防内側外貿雑貨
COSCO,TAKEKO,564,9513,中防内側外貿雑貨
COSCO,UMEKO,564,9515,中防内側外貿雑貨
COSCO,YONGDINGHE,764,12668,中防内側外貿雑貨
COSCO,COSCOSAKURA,542,9287,中防内側外貿雑貨
COSCO,ZIYAHE,764,12714,中防内側外貿雑貨
CSCL,CSCLYOKOHAMA,908,12550,青海公共
CSCL,CSCLTOKYO,908,12550,青海公共
CSCL,CSCLNAGOYA,908,12562,青海公共
Goto,GLARYOCEAN,1118,13702,青海A3
Goto,CONTIESPERANCE,2758,34927,青海A3
Goto,CONTIBRISBANE,2758,34894,青海A3
HASCO,GLORYFORTUNE,1098,13979,青海公共
JIZHOU,JIPENG,571,7835,青海公共
JIZHOU,JIHONG,550,7485,青海公共
JJSCO,JJSKY,1080,13769,青海公共
JJSCO,JJSTAR,1080,13793,品川公共
NingboOcean,NEWMINGZHOU,1100,12599,大井o5/6
ShanghaiPuhai,CONMARDELTA,735,7957,青海公共
Sinotrans,REFLECTION,915,11229,品川公共
Sinotrans,SINOTRANSNAGOYA,915,11179,品川公共
Sinotrans,NORTHERNVALENCE,2742,37921,大井o5
Sinotrans,CAPEMOLLINI,2742,37882,大井o5
Sinotrans,SINOTRANS×IAMEN,831,12550,大井o5
Sinotrans,YISHENG,385,6816,品川公共大井o5
Sinotrans,TRADEHOPE,385,6810,品川公共大井o5
SITC,JOSCOVIEW,1049,12830,大井o1/2
SITC,SITCSHIMIZU,1042,11694,大井o1/2
SITC,JOSCOSTAR,1043,12820,青海A3
SITC,SITCYANTAI,1042,12692,青海A3
SITC,SITCBUSAN,1040,13009,青海A3
SITC,SITCNAGOYA,907,12601,大井o1/2
SITC,SOTCHONGKONG,831,12621,大井o1/2
SITC,SITC×IAMEN,831,12628,大井o1/2
SITC,SITCLIANYUNGANG,1042,12716,大井o1/2
SITC,SITCSHENZHEN,1042,12692,大井o1/2
SITC,SITCHOCHIMINH,1042,12696,大井o1/2
T.Slines,VEGATOPAS,834,11400,青海公共
T.Slines,CONDOR,887,12400,青海公共
TCLC,TAICANGHE,357,6720,青海公共
TCLC,OSGARGOSY,585,8732,青海公共
TCLC,GUANGPING,629,7991,青海公共
Winland,ESMSILVANA,787,12649,青海A3青海公共
Winland,LILLY,672,8238,青海A3青海公共
