名称,所在地,面積（ｍ2）,構造
日の出ふ頭1号船客待合所,港区海岸二丁目,361,鉄骨鉄筋コンクリート
日の出ふ頭2号船客待合所,港区海岸二丁目,1065,鉄骨鉄筋コンクリート
フェリーふ頭ターミナルビル,江東区有明四丁目,7795,鉄骨鉄筋コンクリート造4階建（埠頭(株)）
