,実績値Ｈ13,実績値Ｈ14,実績値Ｈ15,実績値Ｈ16,実績値Ｈ17,実績値Ｈ18,実績値Ｈ19,実績値Ｈ20,実績値Ｈ21,基準年実績値Ｈ２２,（参考）実績値Ｈ２３,（参考）実績値Ｈ２４,推計値目標年Ｈ３７,推計方法
出入,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2025,類型
移出,8196,8052,8451,8250,8079,8068,5620,3832,3191,3604,4844,3941,3604,現状維持
移入,7704,7143,7615,7649,7602,7632,5013,3538,3040,3453,4647,3838,3453,現状維持
計,15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057,
