波高（m)/風向,NNE,NE,ENE,E,ESE,SE,SSE,S,SSW,SW,WSW,W,WNW,NW,NNW,N,,合計（％）
波向なし(回),,,,,,,,,,,,,,,,,,78148
波向なし(%),,,,,,,,,,,,,,,,,,90
0.00～0.20(回),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.00～0.20（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.21～0.40(回),0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,,3
0.21～0.40（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
0.41～0.60(回),78,134,398,501,266,273,529,1592,395,35,18,18,24,30,28,54,,4373
0.41～0.60（％）,0,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,,5
0.61～0.80(回),31,57,248,302,87,59,262,1598,474,18,5,5,7,11,12,23,,3199
0.61～0.80（％）,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,,4
0.81～1.00(回),5,9,55,37,8,6,36,546,248,1,1,1,2,5,5,8,,973
0.81～1.00（％）,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
1.01～1.20(回),0,1,8,9,1,3,13,162,94,0,0,1,0,0,0,0,,292
1.01～1.20（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1.21～1.40(回),0,0,2,6,0,0,8,64,33,0,0,0,0,0,0,0,,113
1.21～1.40（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1.41～1.60(回),0,0,0,6,1,0,4,40,8,0,0,0,0,0,0,0,,59
1.41～1.60（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1.61～1.80(回),0,0,1,1,0,0,2,16,1,0,0,0,0,0,0,1,,22
1.61～1.80（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
1.81～2.00(回),0,0,0,1,0,0,0,6,1,0,0,0,0,0,0,0,,8
1.81～2.00（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2.01～2.50(回),0,0,1,1,2,0,1,11,0,0,0,0,0,0,0,0,,16
2.01～2.50（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
2.51～3.00(回),0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,,3
2.51～3.00（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.01～3.50(回),0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,,1
3.01～3.50（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.51～(回),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
3.51～（％）,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0
合計(回),114,201,713,867,366,341,855,4038,1254,54,24,25,33,46,45,86,,87211
合計（％）,0,0,1,1,0,0,1,5,1,0,0,0,0,0,0,0,,100
