番号,既設用途,既設水深(-m),既設面積(ha),変更後用途,変更後水深(-m),変更後面積(ha)
（1）,泊地,11,1.0,泊地,15～16,1.0
（2）,泊地,12,2.5,-,-,0.7
（3）,泊地,12,2.5,泊地,15～16,0.3
（4）,泊地,12,2.5,泊地,12,1.5
（5）,航路・泊地,12,11.1,泊地,15～16,1.0
（6）,航路・泊地,12,11.1,航路・泊地,15～16,4.1
（7）,航路・泊地,12,11.1,航路・泊地,12,6.0
