地区名/用途,埠頭用地（ha）,港湾関連用地（ha）,交流厚生用地（ha）,工業用地（ha）,都市機能用地（ha）,交通機能用地（ha）,緑地（ha）,廃棄物処理施設用地（ha）,海面処分用地（ha）,危険物取扱施設用地（ha）,合計（ha）
内港地区,(3),,(3),,,,(2),,,,(7)
内港地区,3,,3,,,,2,,,,7
南部地区,,(22),,,,(1),(1),,,,（23）
南部地区,,22,,,,1,1,,,,23
中部地区,(1),,,,,,,,,,(1)
中部地区,1,,,,,,,,,,1
東部地区,(29),,,,,,,,,,(29)
東部地区,29,,,,,,,,,,29
中央防波堤地区,(2),(2),,,,,,,(245),,（249）
中央防波堤地区,2,2,,,,,,,245,,249
羽田空港,,,,,,,,,,,
合計,(34),(23),(3),,,(1),（3）,,(245),,(308)
合計,34,23,3,,,1,3,,245,,308
