品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,輸出(千トン),53,29,21,36,25,44,61,2,2,3,2,2,4
農水産品米穀類,輸入(千トン),815,727,1215,1343,1131,821,955,517,493,454,414,386,476
農水産品米穀類,計(千トン),867,756,1236,1379,1156,866,1016,520,495,458,416,388,480
農水産品野菜・果物,輸出(千トン),65,93,64,100,85,95,92,38,30,24,20,13,28
農水産品野菜・果物,輸入(千トン),1181,1232,1573,1651,1714,1547,1603,1484,1522,1570,1641,1708,1685
農水産品野菜・果物,計(千トン),1246,1324,1636,1751,1799,1642,1696,1521,1552,1595,1662,1721,1713
農水産品水産品,輸出(千トン),164,508,554,486,367,391,335,147,158,146,130,152,166
農水産品水産品,輸入(千トン),1245,1901,1623,1625,1315,1134,968,982,840,897,946,974,1115
農水産品水産品,計(千トン),1409,2409,2177,2111,1682,1525,1303,1129,998,1042,1076,1126,1281
農水産品その他,輸出(千トン),123,251,180,287,233,221,227,52,59,51,40,46,67
農水産品その他,輸入(千トン),1657,1446,1724,1785,1802,1465,1313,1177,1014,1178,1277,1335,1379
農水産品その他,計(千トン),1780,1697,1904,2072,2035,1686,1540,1229,1073,1229,1317,1381,1446
林産品原木,輸出(千トン),14,19,4,9,10,12,5,1,1,2,1,1,2
林産品原木,輸入(千トン),253,463,166,196,258,213,159,61,10,7,8,6,8
林産品原木,計(千トン),266,483,170,205,268,225,163,63,12,8,9,7,9
林産品製材,輸出(千トン),77,55,87,130,116,68,74,10,12,19,10,9,21
林産品製材,輸入(千トン),1229,1039,1567,1836,1221,1209,1005,855,719,794,908,877,944
林産品製材,計(千トン),1306,1094,1654,1966,1337,1277,1079,865,731,812,918,886,964
林産品その他,輸出(千トン),75,76,81,140,169,153,196,3,1,0,1,1,0
林産品その他,輸入(千トン),174,94,158,188,245,234,273,144,123,145,132,121,164
林産品その他,計(千トン),249,169,239,329,414,387,468,146,124,145,133,122,164
鉱産品石炭,輸出(千トン),0,0,1,1,3,1,1,3,0,0,0,0,0
鉱産品石炭,輸入(千トン),78,52,78,133,93,67,131,118,134,132,127,100,139
鉱産品石炭,計(千トン),78,52,79,135,96,68,133,120,134,132,127,100,139
