地区名,埠頭名,種別,今回計画水深(m),今回計画バース数,今回計画延長(m),今回計画対象船舶(DWT),既定計画水深(m),既定計画バース数,既定計画延長(m),既定計画対象船舶(DWT)
内港地区,品川,既設の変更計画,11,2,550,20000,10,2,435,15000
南部地区,大井,既定計画※対象船舶を大型化,15～16,7,2354,150000,15～16,7,2354,100000
南部地区,大井,既設・既定計画の変更計画,15～16,1,400,150000,-,-,-,-
中部地区,青海,既定計画※対象船舶を大型化,15～16,2,700,150000,15～16,2,700,100000
中部地区,青海,既設※対象船舶を大型化,15,1,350,100000,15,1,350,50000
中部地区,青海,既設,13,2,520,40000,13,2,520,40000
東部地区,15号地,新規計画,11～12,2,500,30000,-,-,-,-
中央防波堤地区,中央防波堤外側,既設(工事中),11,1,230,20000,11,1,230,20000
中央防波堤地区,中央防波堤外側,既設(工事中)※対象船舶を大型化,15~16,1,400,150000,15~16,1,400,100000
中央防波堤地区,中央防波堤外側,既定計画※対象船舶を大型化,16～16.5,1,400,150000,16～16.5,1,400,120000
中央防波堤地区,新海面処分場,既定計画※対象船舶を大型化,16～16.5,1,420,150000,16～16.5,1,420,120000
