品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値H30代後半
農水産品米穀類,輸出(千トン),40,38,39,88,93,55,55,46,41,34,41,40,34
農水産品米穀類,輸入(千トン),68,56,32,90,57,45,60,46,29,45,91,77,45
農水産品米穀類,計(千トン),108,94,70,178,150,99,116,92,70,80,132,117,79
農水産品野菜・果物,輸出(千トン),42,24,22,33,27,24,30,28,31,32,29,31,29
農水産品野菜・果物,輸入(千トン),30,39,41,57,43,47,50,52,46,45,46,41,48
農水産品野菜・果物,計(千トン),71,62,63,89,71,71,80,80,77,77,76,72,77
農水産品水産品,輸出(千トン),12,9,14,17,17,13,5,6,15,24,23,22,12
農水産品水産品,輸入(千トン),22,7,13,13,13,14,12,30,22,30,27,27,21
農水産品水産品,計(千トン),34,15,26,30,30,27,17,36,36,53,49,49,34
農水産品その他,輸出(千トン),52,39,29,33,13,5,5,32,10,10,11,11,13
農水産品その他,輸入(千トン),44,33,34,42,26,20,15,14,16,17,17,18,17
農水産品その他,計(千トン),96,72,63,75,38,25,20,46,27,28,28,28,29
林産品原木,輸出(千トン),0,1,0,,0,0,0,1,,0,0,0,0
林産品原木,輸入(千トン),3,3,2,2,2,5,3,3,1,4,0,,3
林産品原木,計(千トン),3,4,3,2,2,5,3,4,1,4,0,0,3
林産品製材,輸出(千トン),7,6,8,14,9,9,9,33,31,23,30,31,21
林産品製材,輸入(千トン),2,4,6,10,15,14,11,16,11,13,16,13,13
林産品製材,計(千トン),9,10,13,23,24,24,21,49,42,36,46,44,34
林産品その他,輸出(千トン),8,24,20,18,14,11,14,15,16,16,18,18,16
林産品その他,輸入(千トン),12,20,27,33,44,38,15,7,9,7,9,14,7
林産品その他,計(千トン),20,44,47,51,59,49,29,21,26,23,28,31,23
鉱産品石炭,輸出(千トン),0,0,0,1,0,1,0,3,1,0,2,0,1
鉱産品石炭,輸入(千トン),1,3,4,5,6,4,3,,,1,5,0,2
鉱産品石炭,計(千トン),1,3,4,6,6,5,3,3,1,1,7,0,3
鉱産品砂利・砂,輸出(千トン),103,81,36,12,36,21,28,42,25,14,65,20,26
鉱産品砂利・砂,輸入(千トン),1574,1746,1956,1836,2238,2108,2212,1748,1371,1426,1286,1070,2238
鉱産品砂利・砂,計(千トン),1678,1827,1992,1848,2274,2130,2241,1790,1397,1441,1351,1090,2264
鉱産品原油,輸出(千トン),0,,,,,0,0,,0,0,0,,0
鉱産品原油,輸入(千トン),2,1,,,,0,,,,0,,,
鉱産品原油,計(千トン),2,1,,,,0,0,,0,0,0,,0
鉱産品その他,輸出(千トン),5,16,23,20,6,2,2,1,0,45,68,24,45
鉱産品その他,輸入(千トン),31,76,173,73,81,35,82,96,69,63,19,92,69
鉱産品その他,計(千トン),37,92,195,93,87,37,84,97,69,108,86,116,114
金属機械工業品鉄鋼,輸出(千トン),56,79,82,232,94,93,127,106,67,60,67,54,91
金属機械工業品鉄鋼,輸入(千トン),366,274,311,368,348,354,334,411,297,274,366,372,334
金属機械工業品鉄鋼,計(千トン),422,354,393,601,442,447,460,516,364,334,434,426,424
金属機械工業品非鉄金属金属類,輸出(千トン),32,22,30,24,26,70,88,92,52,56,51,51,72
