地区名,施設諸元（平成22年）,主要取扱貨物等（平成22年実績）,定期航路,
南部地区大井ふ頭その１,"-15m×2,354m(7B)",その他化学工業品2302千トン,外貿コンテナ定期航路,
南部地区大井ふ頭その１,-12m×450m(2B),"産業機械2,1912千トン",北米航路8便/週,
南部地区大井ふ頭その１,-12m×225m(1B),"電気機械1,9032千トン",欧州航路2便/週,
南部地区大井ふ頭その１,-11m×380m(2B),"その他19,1122千トン",ニュージーランド航路1便/週,
南部地区大井ふ頭その１,,合計255082千トン,南米西岸高炉1便/週,
南部地区大井ふ頭その１,,,アジア航路17便/週,
南部地区大井ふ頭その１,,,中国航路10便/週,
南部地区大井ふ頭その１,,,内貿コンテナ定期航路,
南部地区大井ふ頭その１,,,仙台航路,
南部地区大井ふ頭その１,,,仙台・清水航路,
大井ふ頭その2,-5m×280m(4B),"廃棄物1,372千トン",,
大井ふ頭その2,-7.5m×130m(1B),"砂利・砂1,103千トン",,
大井ふ頭その2,,その他38千トン,,
大井ふ頭その2,,"合計2,513千トン",,
中部地区13号地（青海ふ頭）,-13m×520m(2B),再利用資材1625千トン,外貿コンテナ定期航路,
中部地区13号地（青海ふ頭）,-15m×350m(1B),衣服、見廻品、履物1458千トン,北米航路3便/週,
中部地区13号地（青海ふ頭）,-15m×700m(2B),電気機械1323千トン,欧州航路1便/週,
中部地区13号地（青海ふ頭）,,その他9147千トン,ニュージーランド航路1便/週,
中部地区13号地（青海ふ頭）,,合計13332千トン,アジア航路14便/週,
中部地区13号地（青海ふ頭）,,,中国航路15便/週,
中部地区13号地（青海ふ頭）,,,韓国航路1便/週,
中部地区13号地（青海ふ頭）,,,内貿コンテナ定期航路,
中部地区13号地（青海ふ頭）,,,仙台航路,
中部地区13号地（青海ふ頭）,,,仙台・清水航路,
中部地区13号地（お台場ライナー）,-10m×1800m(9B),金属くず593千トン,,
中部地区13号地（お台場ライナー）,,鋼材48千トン,,
中部地区13号地（お台場ライナー）,,製材46千トン,,
中部地区13号地（お台場ライナー）,,その他105千トン,,
中部地区13号地（お台場ライナー）,,合計792千トン,,
中部地区10号地,"-7.5m×1,500m(11B)",完成自動車1331,釧路航路1便/週,
中部地区10号地,-5m×920m(13B),取合せ品1179,日南航路2便/週,
中部地区10号地,,紙・パルプ813,博多航路6便/週,
中部地区10号地,,その他1794,那覇航路6便/週,
中部地区10号地,,合計5117,,
東部地区辰巳ふ頭,"-5m×1,040m(13B)",鋼材116千トン,,
東部地区辰巳ふ頭,,セメント30千トン,,
東部地区辰巳ふ頭,,金属くず30千トン,,
東部地区辰巳ふ頭,,その他178千トン,,
東部地区辰巳ふ頭,,合計355千トン,,
東部地区※15号地（若洲）,-11m×190m(1B),製材151千トン,内貿定期航路,
東部地区※15号地（若洲）,-12m×720m(3B),輸送用容器128千トン,苫小牧航路5便/週（コンテナ・R/C）,
東部地区※15号地（若洲）,,紙・パレプ115千トン,,
東部地区※15号地（若洲）,,その他654千トン,,
東部地区※15号地（若洲）,,合計1048千トン,,
中央防波堤地区,-12m×240m(1B),非金属鉱物165千トン,,
中央防波堤地区,,石炭99千トン,,
中央防波堤地区,,その他111千トン,,
中央防波堤地区,,合計375千トン,,
