ふ頭,名称,揚力(t),数量,取扱品種
品川ふ頭,ガントリークレーン,30.5,2基,コンテナ
品川ふ頭,ガントリークレーン,35.6,1基,コンテナ
品川ふ頭,ガントリークレーン,40.6,1基,コンテナ
青海ふ頭,ガントリークレーン,30.5,4基,コンテナ
青海ふ頭,ガントリークレーン,40.6,8基,コンテナ
大井ふ頭,ガントリークレーン,30.5,2基,コンテナ
大井ふ頭,ガントリークレーン,40.6,11基,コンテナ
大井ふ頭,ガントリークレーン,43.8,6基,コンテナ
大井ふ頭,ガントリークレーン,50.0,1基,コンテナ
中央防波堤内側ばら物ふ頭,アンローダー（走行式）,500t/h,2基,石炭、コークス、珪砂
