品目,出入,H22,推計値Ｈ３０代後半,推計方法
農水産品米穀類,移出(千トン),32,33,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品米穀類,移入(千トン),16,16,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品米穀類,計(千トン),48,48,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品野菜・果物,移出(千トン),21,18,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品野菜・果物,移入(千トン),39,41,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品野菜・果物,計(千トン),61,59,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品水産品,移出(千トン),17,10,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品水産品,移入(千トン),9,5,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品水産品,計(千トン),26,15,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品その他,移出(千トン),3,7,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品その他,移入(千トン),17,17,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
農水産品その他,計(千トン),20,23,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品原木,移出(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品原木,移入(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品原木,計(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品製材,移出(千トン),3,3,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品製材,移入(千トン),9,9,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品製材,計(千トン),12,12,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
