用途地区名,埠頭用地（ha）,港湾関連用地（ha）,交流厚生用地（ha）,工業用地（ha）,都市機能用地（ha）,交通機能用地（ha）,緑地（ha）,廃棄物処理施設用地（ha）,海面処分用地（ha）,危険物取扱施設用地（ha）,合計（ha）
内港地区竹芝ふ頭,（3）,,（3）,,,,（1）,,,,（7）
内港地区竹芝ふ頭,3,,3,,,1,1,,,,7
内港地区日の出ふ頭,(4),,(6),,,(2),(2),,,,(14)
内港地区日の出ふ頭,4,,6,,6,2,2,,,,20
内港地区月島ふ頭,(1),(11),,,,,,,,,(12)
内港地区月島ふ頭,1,11,,,1,2,1,,,,16
内港地区芝浦ふ頭,(14),(27),,,,(3),(3),,,,(45)
内港地区芝浦ふ頭,14,27,,,8,3,3,,,,54
内港地区晴海ふ頭,(5),(0),(2),,,,(8),,,,(15)
内港地区晴海ふ頭,5,0,2,,45,4,8,,,,65
内港地区豊洲ふ頭,(1),(1),(3),,,,(17),,,,(21)
内港地区豊洲ふ頭,1,1,3,,91,13,19,,,,127
内港地区品川ふ頭,(29),(35),,(11),,,(1),(3),,,(79)
内港地区品川ふ頭,29,35,,11,,5,2,3,,,84
内港地区小計,(57),(73),(13),(11),,(5),(31),(3),,,(192)
内港地区小計,57,73,13,11,152,29,35,3,,,373
南部地区京浜3区,,,,(17),,,(4),,,,(20)
南部地区京浜3区,,,,17,27,12,7,,,,62
南部地区京浜6区,,(10),,(58),,,(5),(18),,,(90)
南部地区京浜6区,,10,,58,,14,5,18,,,104
南部地区平和島,,(84),,,,,,,,,(84)
南部地区平和島,,84,,,7,21,25,,,,137
南部地区大井ふ頭その1,(146),(113),,(19),,(31),(82),(6),,,(397)
南部地区大井ふ頭その1,146,113,,19,109,233,84,6,,,710
南部地区大井ふ頭その２,(10),(25),,(33),,(8),(16),(14),,,(106)
南部地区大井ふ頭その２,10,25,,33,8,8,16,14,,,114
南部地区勝島運河埋立地,,,,,,,,,,,
南部地区勝島運河埋立地,,,,,,,13,,,,13
南部地区小計,(156),(232),,(126),,(38),(107),(37),,,(697)
南部地区小計,156,232,,126,151,287,149,37,,,1139
中部地区10号その1,(2),(28),(38),,,(14),,,,,(82)
中部地区10号その1,2,28,38,,25,25,22,,,,139
中部地区10号その2,(53),(13),,,,(6),(1),,,,(72)
中部地区10号その2,53,13,,,,6,1,,,,72
中部地区11号地,,(9),,(29),,,,,,,(38)
中部地区11号地,,9,,29,6,11,1,,,,56
中部地区13号地,(92),(43),(12),,,(24),(19),,,,(190)
中部地区13号地,92,43,12,,83,50,61,,,,341
中部地区有明,,,,,,,(29),,,,(29)
中部地区有明,,,,,81,42,29,,,,153
中部地区小計,(147),(93),(50),(29),,(44),(49),,,,(412)
中部地区小計,147,93,50,29,194,135,114,,,,761
東部地区7号地,,(8),,,,,(39),,,,(47)
東部地区7号地,,8,,,43,20,39,,,,110
東部地区8号地,,(4),,(30),,,,(4),,,(38)
東部地区8号地,,4,,30,6,2,5,4,,,50
東部地区12号地,(13),(25),,,,(1),,,,,(39)
東部地区12号地,13,25,,,,3,,,,,41
東部地区14号地その1,,(137),(7),(14),,(8),(18),(13),,,(196)
東部地区14号地その1,,137,7,14,4,57,62,13,,,293
東部地区14号地その２,,,,,,,,,,,
東部地区14号地その２,,,,,14,2,,,,,16
東部地区15号地,(59),(55),(9),,,(8),(70),,,(6),(207)
東部地区15号地,59,55,9,,,8,79,,,6,216
東部地区小計,(72),(229),(16),(44),,(16),(127),(17),,(6),(526)
東部地区小計,72,229,16,44,68,92,185,17,,6,726
中防地区内側,(41),(17),,(17),,(14),(87),(19),,,(194)
中防地区内側,41,17,,17,,15,87,19,,,195
中防地区外側,(106),(195),,,,(62),(97),(28),(245),,(733)
中防地区外側,106,195,,,17,88,123,28,245,,801
中防地区小計,(147),(212),,(17),,(76),(184),(46),(245),,(926)
中防地区小計,147,212,,17,17,102,210,46,245,,996
羽田地区羽田埋立,,,,,,,,,,,
羽田地区羽田埋立,,,,,,977,,,,,977
合計,(578),(839),(79),(227),,(179),(497),(103),(245),(6),(2753)
合計,578,839,79,227,581,1621,693,103,245,6,4972
