品目,出入,実績値Ｈ２２,推計値Ｈ３０代後半,推測方法類型,推測方法
農水産品米穀類,移出(千トン),34,34,４型,現状維持
農水産品米穀類,移入(千トン),45,45,２型,過去５年間の平均
農水産品米穀類,計(千トン),80,79,,
農水産品野菜・果物,移出(千トン),32,29,２型,過去５年間の平均
農水産品野菜・果物,移入(千トン),45,48,２型,過去５年間の平均
農水産品野菜・果物,計(千トン),77,77,,
農水産品水産品,移出(千トン),24,12,２型,過去５年間の平均
農水産品水産品,移入(千トン),30,21,２型,過去５年間の平均
農水産品水産品,計(千トン),53,34,,
農水産品その他,移出(千トン),10,13,２型,過去５年間の平均
農水産品その他,移入(千トン),17,17,２型,過去５年間の平均
農水産品その他,計(千トン),28,29,,
林産品原木,移出(千トン),0,0,２型,過去５年間の平均
林産品原木,移入(千トン),4,3,２型,過去５年間の平均
林産品原木,計(千トン),4,3,,
林産品製材,移出(千トン),23,21,２型,過去５年間の平均
林産品製材,移入(千トン),13,13,２型,過去５年間の平均
林産品製材,計(千トン),36,34,,
林産品その他,移出(千トン),16,16,３型,現状維持
林産品その他,移入(千トン),7,7,４型,現状維持
林産品その他,計(千トン),23,23,,
鉱産品石炭,移出(千トン),0,1,２型,過去５年間の平均
鉱産品石炭,移入(千トン),1,2,２型,過去５年間の平均
鉱産品石炭,計(千トン),1,3,,
鉱産品砂利・砂,移出(千トン),14,26,２型,過去５年間の平均
鉱産品砂利・砂,移入(千トン),1426,2238,１型,過去１０年最大値
鉱産品砂利・砂,計(千トン),1441,2264,,
鉱産品原油,移出(千トン),0,0,２型,過去５年間の平均
鉱産品原油,移入(千トン),0,,５型,取扱なし
鉱産品原油,計(千トン),0,0,,
鉱産品その他,移出(千トン),45,45,３型,現状維持
鉱産品その他,移入(千トン),63,69,２型,過去５年間の平均
鉱産品その他,計(千トン),108,114,,
金属機械工業品鉄鋼,移出(千トン),60,91,２型,過去５年間の平均
金属機械工業品鉄鋼,移入(千トン),274,334,２型,過去５年間の平均
金属機械工業品鉄鋼,計(千トン),334,424,,
金属機械工業品非鉄金属金属類,移出(千トン),56,72,２型,過去５年間の平均
金属機械工業品非鉄金属金属類,移入(千トン),79,74,２型,過去５年間の平均
金属機械工業品非鉄金属金属類,計(千トン),135,146,,
金属機械工業品輸送機械(フェリー除),移出(千トン),1862,2564,１型,時系列対数回帰
金属機械工業品輸送機械(フェリー除),移入(千トン),857,1336,１型,時系列対数回帰
金属機械工業品輸送機械(フェリー除),計(千トン),2719,3900,,
金属機械工業品その他,移出(千トン),147,159,２型,過去５年間の平均
金属機械工業品その他,移入(千トン),71,88,２型,過去５年間の平均
金属機械工業品その他,計(千トン),219,246,,
化学工業品石油類,移出(千トン),39,46,２型,過去５年間の平均
化学工業品石油類,移入(千トン),1,1,２型,過去５年間の平均
化学工業品石油類,計(千トン),40,48,,
化学工業品セメント,移出(千トン),51,45,２型,過去５年間の平均
化学工業品セメント,移入(千トン),601,601,１型,現状維持
化学工業品セメント,計(千トン),651,645,,
化学工業品その他,移出(千トン),159,164,２型,過去５年間の平均
化学工業品その他,移入(千トン),169,205,２型,過去５年間の平均
化学工業品その他,計(千トン),328,369,,
軽工業品紙・パルプ,移出(千トン),180,200,２型,過去５年間の平均
軽工業品紙・パルプ,移入(千トン),1789,2161,１型,過去１０年最大値
軽工業品紙・パルプ,計(千トン),1969,2361,,
軽工業品砂糖,移出(千トン),12,13,２型,過去５年間の平均
軽工業品砂糖,移入(千トン),54,54,２型,過去５年間の平均
軽工業品砂糖,計(千トン),67,67,,
軽工業品その他,移出(千トン),511,741,１型,時系列対数回帰
軽工業品その他,移入(千トン),337,350,２型,過去５年間の平均
軽工業品その他,計(千トン),848,1092,,
雑工業品,移出(千トン),196,234,２型,過去５年間の平均
雑工業品,移入(千トン),76,138,２型,過去５年間の平均
雑工業品,計(千トン),273,372,,
特殊品金属くず,移出(千トン),23,23,４型,現状維持
特殊品金属くず,移入(千トン),24,24,４型,現状維持
特殊品金属くず,計(千トン),47,47,,
特殊品廃棄物(廃土砂),移出(千トン),1698,1994,１型,過去１０年最大値
特殊品廃棄物(廃土砂),移入(千トン),6,21,２型,過去５年間の平均
特殊品廃棄物(廃土砂),計(千トン),1704,2015,,
特殊物取合せ品,移出(千トン),1501,2081,１型,過去１０年最大値
特殊物取合せ品,移入(千トン),822,1450,１型,過去１０年最大値
特殊物取合せ品,計(千トン),2323,3531,,
特殊品その他,移出(千トン),367,506,１型,過去１０年最大値
特殊品その他,移入(千トン),212,212,３型,現状維持
特殊品その他,計(千トン),579,718,,
フェリー,移出(千トン),3604,3604,別途,現状維持
フェリー,移入(千トン),3453,3453,別途,現状維持
フェリー,計(千トン),7057,7057,,
合計,移出(千トン),10665,12735,,
合計,移入(千トン),10477,12964,,
合計,計(千トン),21141,25699,,
合計（フェリー除く）,移出(千トン),7060,9131,,
合計（フェリー除く）,移入(千トン),7024,9511,,
合計（フェリー除く）,計(千トン),14084,18642,,
