整備・計画状況,ふ頭名,貨物属性,ふ頭名,水深（m),バース数,延長（m)
既定計画※,大井コンテナ,コンテナ,o4～o6,15～16,3,990
既設（工事中),中央防波堤外側コンテナ,コンテナ,Y2,15～16,1,400
既定計画,中央防波堤外側コンテナ,コンテナ,Y3,16～16.5,1,400
合計,,,,,5,1790
追加計画,大井コンテナ,コンテナ,o1～o3o7～o8,15～16,5,1764
追加計画,中央防波堤外側コンテナ,コンテナ,Y1,11.0,1,230
追加計画,新海面処分場コンテナ,コンテナ,Z1,16～16.5,1,420
追加計画,昂川コンテナ,コンテナ,S6～S7,11.0,2,550
追加計画,青海コンテナ,コンテナ,A0～A4,13～16,5,1570
追加計画,中央防波堤内側内貿ユニットロード,RORO,×5,9.0,1,230
追加計画,15号地コンテナ,コンテナ,L2～L3,11～12,2,500
追加計画合計,,,,,17,5264
合計（既設・工事中含む),,,,,22,7054
備考※水深－15mの耐震強化岸壁としては整備済,,,,,,
