発生源,現況,今回計画,既定計画,今回計画－既定計画
工場・事業場（t/年）,1607,1607,1607,0
自動車（t/年）,25,21,21,0
船舶（t/年）,2434,933,933,0
航空機（t/年）,22,41,41,0
民生（t/年）,31,33,33,0
合計（t/年）,4119,2635,2635,0
