地区名,ふ頭名,番号,土地利用の区分,面積（ha）,前出幅（m）,主な内容,面積の考え方
内港地区,日の出,（1）,埠頭用地,2.6(2.6),,荷捌き地,日の出再開発※既定計画
内港地区,日の出,（2）,交流厚生用地,2.8(2.8),,業務・商業施設、宿泊施設等,日の出再開発※既定計画
内港地区,日の出,（3）,緑地,1.9(1.9),,埠頭公園,日の出再開発※既定計画
南部地区,大井,（4）,港湾関連用地,21.2(21.2),,バン・シャーシープール、倉庫等,その1その2間埋立※既設（工事中）
南部地区,大井,（5）,緑地,0.3(0.3),,緑地,その1その2間埋立関連
南部地区,大井,（6）,交通機能用地,0.7(0.7),,臨港道路,その1その2間埋立関連※既設（工事中）
中部地区,10号その2,（7）,埠頭用地,0.5(0.5),,荷捌き地,VA1背後埠頭用地※既定計画
東部,15号地,（8）,埠頭用地,28.8(-),,荷捌き地,新規多目的埠頭背後用地
中央防波堤地区,中央防波堤内側,（9）,埠頭用地,1.9(1.9),80,エプロン・野積み場等,X6の背後用地※既定計画
中央防波堤地区,中央防波堤内側,（10）,港湾関連用地,1.6(1.6),80,エプロン・野積み場等,X7の背後用地※既定計画
