品目,出入,H22,推計値Ｈ30代後半,推計方法
農水産品米穀類,移出(千トン),2,2,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品米穀類,移入(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品米穀類,計(千トン),2,2,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品野菜・果物,移出(千トン),10,10,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品野菜・果物,移入(千トン),3,3,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品野菜・果物,計(千トン),14,14,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品水産品,移出(千トン),5,5,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品水産品,移入(千トン),8,8,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品水産品,計(千トン),13,13,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品その他,移出(千トン),31,31,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品その他,移入(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
農水産品その他,計(千トン),31,31,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品原木,移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品原木,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品原木,計(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
