品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
農水産品米穀類,移出(千トン),42,39,39,90,94,57,57,46,44,36,49,43,41
農水産品米穀類,移入(千トン),73,56,32,90,57,45,60,46,29,45,92,77,45
農水産品米穀類,計(千トン),114,95,71,180,151,102,118,93,73,82,141,120,87
農水産品野菜・果物,移出(千トン),44,24,23,36,40,40,48,35,46,43,36,50,63
農水産品野菜・果物,移入(千トン),31,39,41,66,54,64,62,56,51,48,50,44,77
農水産品野菜・果物,計(千トン),75,63,63,103,94,104,110,91,97,91,86,94,140
農水産品水産品,移出(千トン),18,11,16,23,40,38,32,14,24,28,26,34,28
農水産品水産品,移入(千トン),22,7,14,22,30,44,33,37,30,38,33,33,57
農水産品水産品,計(千トン),40,18,30,45,70,82,66,51,54,66,59,67,84
農水産品その他,移出(千トン),53,39,29,37,20,8,12,42,32,41,27,36,114
農水産品その他,移入(千トン),44,34,35,43,27,20,15,14,17,17,20,18,17
農水産品その他,計(千トン),97,73,64,80,47,29,27,56,50,59,47,54,130
林産品原木,移出(千トン),0,3,1,1,1,0,0,5,,0,0,0,0
林産品原木,移入(千トン),3,3,2,2,2,5,3,3,1,4,0,,3
林産品原木,計(千トン),3,6,3,3,3,5,3,8,1,4,0,0,3
林産品製材,移出(千トン),56,74,56,65,54,13,27,41,43,34,43,62,56
林産品製材,移入(千トン),5,4,6,10,15,14,14,16,11,14,21,13,15
林産品製材,計(千トン),61,79,62,75,69,28,41,57,54,47,63,75,71
林産品その他,移出(千トン),10,24,20,18,14,11,15,15,16,16,18,18,17
林産品その他,移入(千トン),14,20,27,33,44,38,15,7,9,7,9,14,7
林産品その他,計(千トン),24,44,47,51,59,49,30,22,26,23,28,31,23
鉱産品石炭,移出(千トン),0,0,0,1,0,1,0,3,1,0,3,2,2
鉱産品石炭,移入(千トン),1,3,4,5,6,4,3,,,1,5,0,2
鉱産品石炭,計(千トン),1,3,4,6,6,5,3,3,1,2,8,2,4
