地区名,埠頭名,種別,今回計画水深(m),今回計画バース数,今回計画延長(m),今回計画対象船舶（DWT）,既定計画水深(m),既定計画バース数,既定計画延長(m),既定計画対象船舶（DWT）
内港地区,品川,既設（工事中を含む）,8.5,2,460,10000,8.5,2,460,10000
内港地区,品川,既定計画,8.5,1,230,10000,8.5,1,230,10000
内港地区,品川,既設の変更計画,8.5,1,166,10000,8.5,1,230,10000
内港地区,品川,既設の変更計画,-,-,-,-,8.5,1,230,10000
中部地区,10号地その2（西）,既定計画,9,6,1380,12000(GT),9,6,1380,12000(GT)
東部地区,15号地,既設の変更計画,-,-,-,-,9,1,220,10000(GT)
東部地区,15号地,既設の廃止,-,-,-,-,9,1,220,10000(GT)
中央防波堤地区,中央防波堤内側,既設,9,2,460,12000(GT),9,2,460,12000(GT)
