品目,出入,実績値Ｈ２２,推計値Ｈ30代後半,
農水産品米穀類,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品米穀類,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品米穀類,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品野菜・果物,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品野菜・果物,移入(千トン),,18,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品野菜・果物,計(千トン),,18,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品水産品,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品水産品,移入(千トン),,8,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品水産品,計(千トン),,8,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品その他,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
農水産品その他,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品原木,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品原木,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品原木,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品製材,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品製材,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品製材,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品その他,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
林産品その他,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品石炭,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品石炭,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品石炭,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品砂利・砂,移出(千トン),45,45,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品砂利・砂,移入(千トン),3151,3151,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品砂利・砂,計(千トン),3196,3196,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
