航路,主な寄港地,航海数,運航社,就航船船名,就航船総トン数(ｔ),就航船種別,主たる利用ふ頭
北海道苫小牧釧路,東京/苫小牧/釧路/大阪/高松,週6便,日本通運(株),ひまわり1,7323,Ｒ/Ｃ,若洲
北海道苫小牧釧路,東京/苫小牧/釧路/大阪/高松,週6便,日本通運(株),ひまわり2,7323,Ｒ/Ｃ,若洲
北海道苫小牧釧路,東京/苫小牧/釧路/大阪/高松,週6便,日本通運(株),ひまわり7,10497,Ｒ/Ｃ,若洲
北海道苫小牧,東京/苫小牧,週6便（月～土）,栗林商船(株),神王丸,11790,RORO,品川
北海道苫小牧,東京/苫小牧,週6便（月～土）,川崎近海汽船(株),王公丸,9925,RORO,品川
北海道苫小牧,東京/苫小牧,週6便（月～土）,近海郵船物流(株),王郵丸,9841,RORO,品川
北海道苫小牧釧路,東京/名古屋/大阪/苫小牧/釧路/仙台,週6便（月～土）,栗林商船(株),神瑞丸,13097,RORO,品川
北海道苫小牧釧路,東京/名古屋/大阪/苫小牧/釧路/仙台,週6便（月～土）,栗林商船(株),神明丸,13091,RORO,品川
北海道苫小牧釧路,東京/名古屋/大阪/苫小牧/釧路/仙台,週6便（月～土）,川崎近海汽船(株),神川丸,13089,RORO,品川
北海道苫小牧釧路,東京/苫小牧/釧路,週1.5便,栗林商船(株),第一有明丸,3692,RORO,品川
北海道釧路,東京/船橋/釧路,週1便,栗林商船(株),新釧路丸,5310,RORO,お台場ライナー
九州日南,東京/油津/細島,週2便,川崎近海汽船(株),さんふらわあはかた,10507,RORO,10号地
九州博多,東京/博多/岩国/宇野/松山,週6便（月～土）,商船三井フェリー(株),さんふらわあとうきょう,10503,RORO,10号地
九州博多,東京/博多/岩国/宇野/松山,週6便（月～土）,商船三井フェリー(株),ひまわり5,10470,RORO,10号地
九州博多,東京/博多/岩国/宇野/松山,週6便（月～土）,日本通運(株),ひまわり6,10471,RORO,10号地
九州苅田,東京/御前崎/苅田/大分,週2便,日本通運(株),むさし丸,13927,RORO,10号地
沖縄那覇,東京/志布志/名瀬/那覇,週3便,商船三井フェリー(株),クルーズフェリー飛龍21,9225,貨客,10号地
沖縄那覇,東京/志布志/名瀬/那覇,週3便,商船三井フェリー(株),たかちほ,3891,RORO,10号地
沖縄那覇,東京/大阪/那覇,週3便,琉球海運(株),わかなつ,10185,RORO,10号地
沖縄那覇,東京/大阪/那覇,週3便,琉球海運(株),かりゆし,9943,RORO,10号地
沖縄那覇,東京/大阪/那覇,週3便,近海郵船物流(株),しゅり,9813,RORO,10号地
伊豆諸島小笠原伊豆七島,東京/大島/利島/新島/式根島,毎日,東海汽船(株),セブンアイランド(4隻),280,旅客,竹芝
伊豆諸島小笠原伊豆七島,東京/大島/利島/新島/式根島,週末多客時,東海汽船(株),かめりあ丸,3837,貨客,竹芝
伊豆諸島小笠原伊豆七島,東京/三宅島/御蔵島/八丈島,毎日,東海汽船(株),さるびあ丸,4973,貨客,竹芝
伊豆諸島小笠原小笠原,東京/父島,月5便,小笠原海運(株),おがさわら丸,6700,貨客,竹芝
内航フィーダー,東京/横浜/仙台,-,近海郵船(株),はるかぜ,749,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),清岳丸,499,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),清島丸,499,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),第一鐵丸,499,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),駿河丸,499,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),太田川,499,コンテナ,大井/青海
内航フィーダー,東京/横浜/苫小牧/八戸/仙台/常陸那珂/鹿島/清水/御前崎/名古屋/四日市,-,鈴与海運(株),清浜丸,499,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),あしや,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),まいこ,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),ひよどり,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),いくた,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),ひょうご,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),神若,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),つるかぶと,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),公龍丸,749,コンテナ,大井/青海
内航フィーダー,東京/川崎/横浜/苫小牧/八戸/釜石/仙台/相馬/小名浜/清水/御前崎/豊崎/名古屋/四日市/大阪/神戸,-,井本商運(株),こうよう,749,コンテナ,大井/青海
