地区名,ふ頭名,番号,変更前土地利用,変更前面積(ha),変更後土地利用,変更後面積(ha),変更理由
内港地区,晴海ふ頭,(1),都市機能用地,35.7,都市機能用地,32.2,臨港地区外であり、今後の港湾利用の予定もないことから、土地利用計画から削除
南部地区,大井ふ頭その1,(2),緑地,5.9,埠頭用地,5.9,大井北ふ頭公園の土地利用計画の変更による物流機能強化
南部地区,大井ふ頭その1,(3),緑地,0.3,埠頭用地,0.3,土地利用計画の変更による物流機能強化
南部地区,大井ふ頭その1,(4),港湾関連用地,37.8,港湾関連用地/埠頭用地,30.1/7.7,大井水産物ふ頭の利用転換による物流機能強化
南部地区,大井ふ頭その1,(5),-,,埠頭用地,0.7,大井水産物ふ頭の利用転換に伴う前出し（35m）※桟橋構造想定
南部地区,京浜3区,(6),緑地,2.2,その他緑地,2.2,区への移管に伴う変更
南部地区,京浜6区,(7),産業廃棄物処理施設用地,17.6,産業廃棄物処理施設用地工業用地,17.5/0.1,進出予定企業の変更に伴う土地利用計画の変更
南部地区,勝島運河埋立地,(8),都市機能用地,0.7,-,-,臨港地区外であり、今後の港湾利用の予定もないことから、土地利用計画から削除
南部地区,勝島運河埋立地,(9),都市機能用地,2.2,-,-,臨港地区外であり、今後の港湾利用の予定もないことから、土地利用計画から削除
中部地区,13号地,(10),交流厚生用地,6.8,交流厚生用地埠/頭用地,6.5/0.3,13号地小型船だまりの機能強化に伴う土地利用計画の変更
中部地区,有明,(11),都市機能用地,27.4,都市機能用地緑地,26.0/1.4,
東部地区,15号地,(12),埠頭用地,43.2,埠頭用地港湾関連用地,30.2/13.0,15号地新規多目的ふ頭計画に伴う、土地利用計画の変更
中央防波堤地区,中央防波堤外側,(13),港湾関連用地,21.8,緑地,21.8,
中央防波堤地区,中央防波堤外側,(14),都市機能用地,10.8,港湾関連用地,10.8,
中央防波堤地区,中央防波堤外側,(15),都市機能用地,38,港湾関連用地,38,
中央防波堤地区,中央防波堤外側,(16),その他緑地,55.6,その他緑地/都市機能用地/港湾関連用地,17.2/16.6/21.8,
中央防波堤地区,中央防波堤外側,(17),港湾関連用地,63,港湾関連用地/緑地,48.1/14.9,
中央防波堤地区,中央防波堤外側,(18),港湾関連用地,25,港湾関連用地/緑地/その他緑地,23.3/0.9/0.8,
中央防波堤地区,中央防波堤外側,(19),緑地,3.2,その他緑地,3.2,中央防波堤外側地区のロジスティクス機能強化に向けた土地利用計画の変更
