品目,出入,実績値Ｈ20,実績値Ｈ21,実績値Ｈ22,推計値Ｈ30代後半,推計方法類型,推計方法
農水産品米穀類,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
農水産品米穀類,輸入（%）,34.9,35.7,33.3,34.6,２型,過去３年間の平均
農水産品米穀類,計（%）,35.2,35.9,33.8,35.1,,
農水産品野菜・果物,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
農水産品野菜・果物,輸入（%）,51.6,48.9,58.0,52.8,２型,過去３年間の平均
農水産品野菜・果物,計（%）,52.8,49.9,58.6,53.5,,
農水産品水産品,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
農水産品水産品,輸入（%）,98.4,97.5,98.3,98.0,２型,過去３年間の平均
農水産品水産品,計（%）,98.6,97.9,98.5,98.3,,
農水産品その他,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
農水産品その他,輸入（%）,99.9,100.0,100.0,100.0,１型,現状維持
農水産品その他,計（%）,99.9,100.0,100.0,100.0,,
林産品原木,輸出（%）,1,100.0,100.0,100.0,１型,現状維持
林産品原木,輸入（%）,15.8,63.1,100.0,100.0,３型,現状維持
林産品原木,計（%）,17.6,67.8,100.0,100.0,,
林産品製材,輸出（%）,93.8,91.3,68.0,84.4,２型,過去３年間の平均
林産品製材,輸入（%）,71.7,73.5,74.9,74.9,３型,現状維持
林産品製材,計（%）,71.9,73.8,74.7,75.1,,
林産品その他,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
林産品その他,輸入（%）,100.0,99.6,83.4,94.3,２型,過去３年間の平均
林産品その他,計（%）,100.0,99.6,83.4,94.3,,
鉱産品石炭,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
鉱産品石炭,輸入（%）,24.6,27.7,26.0,26.1,２型,過去３年間の平均
鉱産品石炭,計（%）,24.1,27.7,26.0,26.1,,
鉱産品砂利・砂,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
鉱産品砂利・砂,輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
鉱産品砂利・砂,計（%）,100.0,100.0,100.0,100.0,,
鉱産品原油,輸出（%）,100.0,100.0,,,４型,現状維持
鉱産品原油,輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
鉱産品原油,計（%）,100.0,100.0,100.0,100.0,,
鉱産品その他,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
鉱産品その他,輸入（%）,82.1,69.1,47.9,66.4,２型,過去３年間の平均
鉱産品その他,計（%）,82.9,710,49.8,67.6,,
金属機械工業品鉄鋼,輸出（%）,95.0,1,95.8,97.0,２型,過去３年間の平均
金属機械工業品鉄鋼,輸入（%）,57.9,55.3,77.9,63.7,２型,過去３年間の平均
金属機械工業品鉄鋼,計（%）,75.8,79.4,88.8,89.1,,
金属機械工業品非鉄金属金属類,輸出（%）,96.0,88.8,98.2,94.3,２型,過去３年間の平均
金属機械工業品非鉄金属金属類,輸入（%）,98.7,99.5,99.6,99.6,３型,現状維持
金属機械工業品非鉄金属金属類,計（%）,98.0,96.6,99.3,98.8,,
金属機械工業品輸送機械(フェリー除),輸出（%）,100.0,100.0,99.9,100.0,２型,過去３年間の平均
