地区名,対象施設名,種別,今回計画対象船型(DWT),今回計画水深（m),今回計画面積（ha),既定計画対象船型(DWT),既定計画水深（m),既定計画面積（ha)
内港地区,品川コンテナ,新規計画,20000,11,27.0,15000,―,―
南部地区,大井コンテナ,既設の変更計画,150000,15~16,4.1,―,―,―
南部地区,大井水産物,既設の変更計画,30000,12,6.0,―,―,―
南部地区中部地区,大井コンテナ青海コンテナ,既定計画,150000,15~16,365.3,100000,15~16,365.3
中部地区,10号地その1,既定計画,―,―,―,23000(GT),8.5,24.6
中部地区,10号地その2(東)多目的,既定計画,―,―,―,23000(GT),8.5,16.6
中部地区,10号地その2(西)ユニットロード,既定計画,―,―,―,12000(GT),9.,9.2
中部地区,新客船,既定計画,―,―,―,230000(GT),11.5,24.0
東部地区,15号地木材,既設の変更計画,30000,12,78.0,―,―,―
東部地区,15号地コンテナ,既設の変更計画,30000,11～12,11.1,―,―,―
東部地区,15号地(民間),既設の変更計画,30000,12,37.9,―,―,―
東部地区,12号地貯木場,新規計画,10000,9,2.6,―,―,―
中央防波堤地区,中央防波堤内側ユニットロード,既定計画の変更計画,12000(GT),9,13.0,12000(GT),9,13.7
中央防波堤地区,中央防波堤内側多目的,既定計画,30000,12,14.7,15000,12,14.7
中央防波堤地区,中央防波堤外側コンテナ,既設（工事中）,―,―,―,20000,11,7.0
中央防波堤地区,中央防波堤外側コンテナ,既設（工事中）,150000,15~16,16.6,100000,15~16,16.6
中央防波堤地区,中央防波堤外側・新海面処分場コンテナ,既定計画,150000,16~16.5,109.3,120000,16~16.5,109.3
