,名称,延長（m）
防波堤,中央防波堤,3690.0
防波堤,東防波堤,615.0
防波堤,西防波堤,284.5
防波堤,12号地木材投下泊地防波堤,430.0
防波堤,13号地小型船だまり防波堤,176.0
防波堤,小計,5195.5
波除堤,12号地貯木場波除堤,2615.4
波除堤,城南島小型油槽船だまり波除堤,100.0
波除堤,芝浦小型船だまり波除堤,171.2
波除堤,13号地小型船だまり波除堤,298.9
波除堤,小計,3185.5
波除堤,合計,8381.0
