,NNE（％）,NE（％）,ENE（％）,E（％）,ESE（％）,SE（％）,SSE（％）,S（％）,SSW（％）,SW（％）,WSW（％）,W（％）,WNW（％）,NW（％）,NNW（％）,N（％）,合計（％）,稼働率（％）,限界波高,備考
201(1),0.00,0.00,0.00,0.01,0.01,0.00,0.01,0.06,0.18,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.30,99.70,0.5,15号地ふ頭、500m防波堤あり
202(2),0.00,0.00,0.01,0.02,0.01,0.01,0.01,0.10,0.21,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.42,99.58,0.5,15号地ふ頭、500m防波堤あり
203(3),0.00,0.00,0.00,0.01,0.01,0.01,0.02,0.40,1.48,0.33,0.02,0.00,0.00,0.00,0.00,0.00,2.30,97.70,0.3,15号地ふ頭、500m防波堤あり
204(4),0.00,0.00,0.01,0.04,0.02,0.02,0.04,0.56,1.49,0.28,0.01,0.00,0.00,0.00,0.00,0.00,2.49,97.51,0.3,15号地ふ頭、500m防波堤あり
201(1),0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.06,0.16,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.27,99.73,0.5,15号地ふ頭、500m防波堤なし
202(2),0.00,0.00,0.01,0.02,0.01,0.00,0.01,0.09,0.21,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.40,99.60,0.5,15号地ふ頭、500m防波堤なし
203(3),0.00,0.00,0.01,0.02,0.01,0.01,0.03,0.46,1.62,0.36,0.03,0.00,0.00,0.00,0.00,0.00,2.57,97.43,0.3,15号地ふ頭、500m防波堤なし
204(4),0.00,0.04,0.13,0.17,0.06,0.06,0.06,0.96,1.91,0.35,0.02,0.00,0.00,0.01,0.00,0.00,3.78,96.22,0.3,15号地ふ頭、500m防波堤なし
